javaclient(57),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.01754386,0,0.03508772,0,0,0.01754386,0,0,0,0,0.01754386,0.01754386
2%=0.02,0.03508772,0,0.03508772,0,0,0.052631579,0.01754386,0.01754386,0,0.03508772,0.03508772,0.03508772
3%=0.03,0.03508772,0,0.03508772,0.01754386,0.01754386,0.070175439,0.01754386,0.01754386,0,0.03508772,0.03508772,0.03508772
4%=0.04,0.052631579,0,0.052631579,0.070175439,0.070175439,0.087719299,0.01754386,0.01754386,0.03508772,0.03508772,0.03508772,0.03508772
5%=0.05,0.087719299,0,0.087719299,0.087719299,0.087719299,0.087719299,0.03508772,0.01754386,0.03508772,0.03508772,0.052631579,0.070175439
6%=0.06,0.122807018,0,0.122807018,0.105263159,0.105263159,0.122807018,0.03508772,0.03508772,0.03508772,0.070175439,0.087719299,0.087719299
7%=0.07,0.157894731,0,0.157894731,0.122807018,0.122807018,0.157894731,0.052631579,0.03508772,0.03508772,0.087719299,0.122807018,0.122807018
8%=0.08,0.19298245,0,0.19298245,0.157894731,0.157894731,0.19298245,0.052631579,0.052631579,0.070175439,0.122807018,0.140350878,0.157894731
9%=0.09,0.22807017,0,0.22807017,0.175438598,0.175438598,0.210526317,0.087719299,0.087719299,0.087719299,0.122807018,0.157894731,0.19298245
10%=0.1,0.263157904,0,0.263157904,0.210526317,0.210526317,0.245614037,0.087719299,0.087719299,0.105263159,0.157894731,0.19298245,0.210526317
11%=0.11,0.315789461,0,0.298245609,0.22807017,0.22807017,0.280701756,0.105263159,0.087719299,0.105263159,0.210526317,0.245614037,0.245614037
12%=0.12,0.333333343,0,0.333333343,0.263157904,0.263157904,0.315789461,0.105263159,0.105263159,0.105263159,0.245614037,0.280701756,0.280701756
13%=0.13,0.368421048,0,0.368421048,0.298245609,0.298245609,0.350877196,0.105263159,0.105263159,0.122807018,0.263157904,0.298245609,0.315789461
14%=0.14,0.403508782,0,0.403508782,0.333333343,0.333333343,0.3859649,0.105263159,0.105263159,0.122807018,0.298245609,0.333333343,0.350877196
15%=0.15,0.438596487,0,0.421052635,0.368421048,0.368421048,0.421052635,0.105263159,0.122807018,0.122807018,0.333333343,0.368421048,0.3859649
