jmeter_core(14),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0714285746216774,0.0,0.0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774
2%=0.02,0.0714285746216774,0.0,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.0714285746216774,0.1428571492433548,0.0714285746216774,0.0714285746216774,0.0714285746216774
3%=0.03,0.0714285746216774,0.0,0.1428571492433548,0.0714285746216774,0.0714285746216774,0.1428571492433548,0.0714285746216774,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
4%=0.04,0.0714285746216774,0.0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.2142857164144516,0.0714285746216774,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516
5%=0.05,0.2142857164144516,0.0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.2142857164144516,0.1428571492433548,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2857142984867096
6%=0.06,0.2857142984867096,0.0,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2857142984867096,0.2857142984867096,0.3571428656578064
7%=0.07,0.2857142984867096,0.0,0.3571428656578064,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.3571428656578064,0.3571428656578064
8%=0.08,0.2857142984867096,0.0,0.4285714328289032,0.2142857164144516,0.2142857164144516,0.2857142984867096,0.3571428656578064,0.2857142984867096,0.2857142984867096,0.3571428656578064,0.3571428656578064,0.3571428656578064
9%=0.09,0.3571428656578064,0.0,0.4285714328289032,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.3571428656578064,0.2857142984867096,0.2857142984867096,0.3571428656578064,0.4285714328289032,0.3571428656578064
10%=0.1,0.4285714328289032,0.0,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.2857142984867096,0.3571428656578064,0.4285714328289032,0.3571428656578064
11%=0.11,0.5,0.0,0.5,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.2857142984867096,0.4285714328289032,0.4285714328289032,0.3571428656578064
12%=0.12,0.6428571343421936,0.0,0.5,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.5,0.3571428656578064
13%=0.13,0.6428571343421936,0.0714285746216774,0.5,0.4285714328289032,0.4285714328289032,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.5714285969734192,0.5
14%=0.14,0.6428571343421936,0.0714285746216774,0.5,0.5,0.5,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.5714285969734192,0.5
15%=0.15,0.6428571343421936,0.0714285746216774,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.5714285969734192,0.5714285969734192
