software12,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main(10)12%=0.12,0.699999988079071,0.0,0.6000000238418579,0.800000011920929,0.800000011920929,0.699999988079071,0.699999988079071,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.8999999761581421
argouml(12)12%=0.12,0.6666666865348816,0.0,0.6666666865348816,0.9166666865348816,0.9166666865348816,0.6666666865348816,0.8333333134651184,0.9166666865348816,0.9166666865348816,0.9166666865348816,1.0,1.0
gwtportlets(27)12%=0.12,0.3333333432674408,0.07407407462596893,0.3333333432674408,0.40740740299224854,0.40740740299224854,0.29629629850387573,0.40740740299224854,0.37037035822868347,0.37037035822868347,0.40740740299224854,0.4444444477558136,0.40740740299224854
javaclient(57)12%=0.12,0.3333333432674408,0.0,0.3333333432674408,0.2631579041481018,0.2631579041481018,0.31578946113586426,0.10526315867900848,0.10526315867900848,0.10526315867900848,0.24561403691768646,0.28070175647735596,0.28070175647735596
jedit(7)12%=0.12,0.8571428656578064,0.0,0.8571428656578064,1.0,1.0,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
jgap(18)12%=0.12,0.6111111044883728,0.0,0.5555555820465088,0.5,0.5,0.6111111044883728,0.3333333432674408,0.2777777910232544,0.2777777910232544,0.3333333432674408,0.3333333432674408,0.3888888955116272
jhotdraw(9)12%=0.12,1.0,0.0,1.0,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.7777777910232544,0.7777777910232544,0.7777777910232544,1.0,1.0,1.0
jmeter_core(14)12%=0.12,0.6428571343421936,0.0,0.5,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.3571428656578064,0.4285714328289032,0.5,0.3571428656578064
JPMC(24)12%=0.12,0.0,0.0416666679084301,0.0,0.2916666567325592,0.2916666567325592,0.0416666679084301,0.0416666679084301,0.0416666679084301,0.0833333358168602,0.0416666679084301,0.0,0.125
log4j(9)12%=0.12,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.8888888955116272,0.7777777910232544,0.6666666865348816,0.7777777910232544,0.7777777910232544,0.7777777910232544
Mars(29)12%=0.12,0.6551724076271057,0.0,0.6551724076271057,0.517241358757019,0.517241358757019,0.6206896305084229,0.5517241358757019,0.5862069129943848,0.5517241358757019,0.5862069129943848,0.6551724076271057,0.6206896305084229
Maze(27)12%=0.12,0.3333333432674408,0.2222222238779068,0.25925925374031067,0.37037035822868347,0.37037035822868347,0.3333333432674408,0.40740740299224854,0.37037035822868347,0.3333333432674408,0.37037035822868347,0.37037035822868347,0.40740740299224854
neuroph(24)12%=0.12,0.3333333432674408,0.0,0.4166666567325592,0.375,0.375,0.25,0.4166666567325592,0.5,0.5,0.5,0.4166666567325592,0.5
PDFBox(12)12%=0.12,0.9166666865348816,0.0,0.75,0.75,0.75,0.75,0.9166666865348816,0.75,0.75,0.8333333134651184,0.75,0.8333333134651184
tomcat(28)12%=0.12,0.8928571343421936,0.1071428582072258,0.8928571343421936,0.5,0.5,0.8928571343421936,0.75,0.6428571343421936,0.5714285969734192,0.8928571343421936,0.9285714030265808,0.8928571343421936
wro4j(12)12%=0.12,0.9166666865348816,0.0,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.8333333134651184,1.0,1.0,0.9166666865348816,1.0,1.0,1.0
Xerces(6)12%=0.12,1.0,0.0,0.8333333134651184,0.3333333432674408,0.3333333432674408,0.8333333134651184,0.5,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.8333333134651184
xuml(37)12%=0.12,0.0,0.4054054021835327,0.027027027681469917,0.0,0.0,0.054054055362939835,0.0,0.0,0.0,0.0,0.0,0.0
