javaclient(57),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.017543859779834747,0.0,0.035087719559669495,0.0,0.0,0.017543859779834747,0.0,0.0,0.0,0.0,0.017543859779834747,0.017543859779834747
2%=0.02,0.035087719559669495,0.0,0.035087719559669495,0.017543859779834747,0.017543859779834747,0.035087719559669495,0.017543859779834747,0.017543859779834747,0.0,0.017543859779834747,0.035087719559669495,0.035087719559669495
3%=0.03,0.035087719559669495,0.0,0.035087719559669495,0.017543859779834747,0.017543859779834747,0.05263157933950424,0.017543859779834747,0.017543859779834747,0.017543859779834747,0.035087719559669495,0.035087719559669495,0.035087719559669495
4%=0.04,0.05263157933950424,0.0,0.05263157933950424,0.035087719559669495,0.035087719559669495,0.08771929889917374,0.017543859779834747,0.017543859779834747,0.017543859779834747,0.035087719559669495,0.035087719559669495,0.035087719559669495
5%=0.05,0.08771929889917374,0.0,0.08771929889917374,0.05263157933950424,0.05263157933950424,0.08771929889917374,0.035087719559669495,0.017543859779834747,0.035087719559669495,0.035087719559669495,0.05263157933950424,0.07017543911933899
6%=0.06,0.12280701845884323,0.0,0.12280701845884323,0.08771929889917374,0.08771929889917374,0.12280701845884323,0.035087719559669495,0.017543859779834747,0.035087719559669495,0.035087719559669495,0.08771929889917374,0.08771929889917374
7%=0.07,0.15789473056793213,0.0,0.15789473056793213,0.10526315867900848,0.10526315867900848,0.15789473056793213,0.035087719559669495,0.035087719559669495,0.05263157933950424,0.07017543911933899,0.12280701845884323,0.10526315867900848
8%=0.08,0.19298245012760162,0.0,0.19298245012760162,0.14035087823867798,0.14035087823867798,0.17543859779834747,0.05263157933950424,0.05263157933950424,0.07017543911933899,0.10526315867900848,0.12280701845884323,0.12280701845884323
9%=0.09,0.22807016968727112,0.0,0.22807016968727112,0.15789473056793213,0.15789473056793213,0.19298245012760162,0.07017543911933899,0.07017543911933899,0.07017543911933899,0.12280701845884323,0.14035087823867798,0.14035087823867798
10%=0.1,0.2631579041481018,0.0,0.2631579041481018,0.15789473056793213,0.15789473056793213,0.22807016968727112,0.07017543911933899,0.07017543911933899,0.08771929889917374,0.12280701845884323,0.15789473056793213,0.17543859779834747
11%=0.11,0.31578946113586426,0.0,0.2982456088066101,0.17543859779834747,0.17543859779834747,0.28070175647735596,0.10526315867900848,0.10526315867900848,0.10526315867900848,0.17543859779834747,0.21052631735801697,0.22807016968727112
12%=0.12,0.3333333432674408,0.0,0.3333333432674408,0.19298245012760162,0.19298245012760162,0.31578946113586426,0.10526315867900848,0.10526315867900848,0.12280701845884323,0.21052631735801697,0.22807016968727112,0.24561403691768646
13%=0.13,0.3684210479259491,0.0,0.3684210479259491,0.22807016968727112,0.22807016968727112,0.35087719559669495,0.10526315867900848,0.10526315867900848,0.12280701845884323,0.24561403691768646,0.2631579041481018,0.2631579041481018
14%=0.14,0.4035087823867798,0.0,0.4035087823867798,0.2631579041481018,0.2631579041481018,0.38596490025520325,0.10526315867900848,0.10526315867900848,0.14035087823867798,0.2631579041481018,0.2982456088066101,0.2982456088066101
15%=0.15,0.4385964870452881,0.0,0.42105263471603394,0.2982456088066101,0.2982456088066101,0.42105263471603394,0.12280701845884323,0.10526315867900848,0.14035087823867798,0.28070175647735596,0.3333333432674408,0.3333333432674408
