ant_main(10),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1
3,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.1
4,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,0.1
5,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1
6,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,0.2,0.0,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2
8,0.2,0.0,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3
9,0.2,0.0,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3
10,0.2,0.0,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.4
11,0.2,0.0,0.1,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.4
12,0.2,0.0,0.1,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.5
13,0.2,0.0,0.1,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.3,0.5
14,0.2,0.0,0.1,0.2,0.2,0.2,0.5,0.2,0.3,0.3,0.4,0.5
15,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.3,0.3,0.4,0.5,0.5
16,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.4,0.6,0.5
17,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.5,0.6,0.5
18,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.5,0.6,0.5
19,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.6,0.6
20,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.6,0.6
21,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.6,0.6
22,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6
23,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.7,0.6
24,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.7,0.7
25,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.7,0.7
26,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.7,0.7
27,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.6,0.7,0.7
28,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.6,0.7,0.7
29,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.7,0.7,0.7
30,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.7,0.7,0.7
