tomcat(28),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
3,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
4,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
5,0.07142857142857142,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571
6,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571
7,0.10714285714285714,0.0,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
8,0.10714285714285714,0.0,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.0,0.07142857142857142,0.10714285714285714,0.07142857142857142
9,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.03571428571428571,0.0,0.07142857142857142,0.10714285714285714,0.10714285714285714
10,0.17857142857142858,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.0,0.03571428571428571,0.0,0.10714285714285714,0.14285714285714285,0.14285714285714285
11,0.17857142857142858,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.0,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.14285714285714285
12,0.17857142857142858,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.14285714285714285
13,0.17857142857142858,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.14285714285714285
14,0.17857142857142858,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.14285714285714285
15,0.21428571428571427,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.14285714285714285
16,0.21428571428571427,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.17857142857142858
17,0.21428571428571427,0.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.21428571428571427
18,0.25,0.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.25
19,0.25,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.21428571428571427,0.25
20,0.25,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.17857142857142858,0.21428571428571427,0.25
21,0.25,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.17857142857142858,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.21428571428571427,0.21428571428571427,0.25
22,0.32142857142857145,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.21428571428571427,0.21428571428571427,0.25
23,0.32142857142857145,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.21428571428571427,0.21428571428571427,0.25
24,0.32142857142857145,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.25,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.25,0.21428571428571427,0.2857142857142857
25,0.32142857142857145,0.0,0.32142857142857145,0.10714285714285714,0.10714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.25,0.21428571428571427,0.2857142857142857
26,0.32142857142857145,0.0,0.32142857142857145,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.25,0.25,0.2857142857142857
27,0.32142857142857145,0.0,0.32142857142857145,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.25,0.25,0.2857142857142857
28,0.32142857142857145,0.0,0.32142857142857145,0.17857142857142858,0.17857142857142858,0.2857142857142857,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.25,0.25,0.2857142857142857
29,0.32142857142857145,0.0,0.32142857142857145,0.17857142857142858,0.17857142857142858,0.2857142857142857,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.25,0.25,0.2857142857142857
30,0.32142857142857145,0.0,0.32142857142857145,0.17857142857142858,0.17857142857142858,0.2857142857142857,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.25,0.25,0.2857142857142857
