Maze(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
3,0.037037037037037035,0.0,0.0,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
4,0.07407407407407407,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
5,0.07407407407407407,0.0,0.0,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814
6,0.07407407407407407,0.0,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517
7,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.2222222222222222
8,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.2222222222222222,0.2222222222222222
9,0.2222222222222222,0.14814814814814814,0.2222222222222222,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.25925925925925924,0.25925925925925924
10,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.25925925925925924,0.2962962962962963,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.2962962962962963
11,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.3333333333333333,0.3333333333333333
12,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.37037037037037035,0.4074074074074074,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035
13,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.4074074074074074
14,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.4074074074074074,0.4444444444444444,0.4444444444444444
15,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.4444444444444444,0.4074074074074074,0.37037037037037035,0.4074074074074074,0.4444444444444444,0.48148148148148145
16,0.4444444444444444,0.2222222222222222,0.25925925925925924,0.4074074074074074,0.4074074074074074,0.37037037037037035,0.4444444444444444,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4444444444444444,0.48148148148148145
17,0.4444444444444444,0.2222222222222222,0.25925925925925924,0.4444444444444444,0.4444444444444444,0.37037037037037035,0.4444444444444444,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.48148148148148145,0.48148148148148145
18,0.4444444444444444,0.2222222222222222,0.25925925925925924,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.4444444444444444,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.5185185185185185,0.5185185185185185
19,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.4444444444444444,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.5185185185185185,0.5185185185185185
20,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.48148148148148145,0.4074074074074074,0.4074074074074074,0.4444444444444444,0.5185185185185185,0.5555555555555556
21,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.4444444444444444,0.4074074074074074,0.48148148148148145,0.5185185185185185,0.5555555555555556
22,0.4444444444444444,0.25925925925925924,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.5185185185185185,0.4444444444444444,0.4444444444444444,0.5185185185185185,0.5185185185185185,0.5555555555555556
23,0.4444444444444444,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.5185185185185185,0.4444444444444444,0.4444444444444444,0.5185185185185185,0.5555555555555556,0.5555555555555556
24,0.4444444444444444,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.5185185185185185,0.48148148148148145,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556
25,0.4444444444444444,0.2962962962962963,0.4444444444444444,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.48148148148148145,0.5925925925925926,0.5555555555555556,0.5555555555555556
26,0.4444444444444444,0.2962962962962963,0.48148148148148145,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.6296296296296297,0.5185185185185185,0.48148148148148145,0.5925925925925926,0.5555555555555556,0.5555555555555556
27,0.4444444444444444,0.2962962962962963,0.48148148148148145,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.6296296296296297,0.5185185185185185,0.48148148148148145,0.5925925925925926,0.5555555555555556,0.5555555555555556
28,0.4444444444444444,0.2962962962962963,0.48148148148148145,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.6666666666666666,0.5185185185185185,0.5185185185185185,0.5925925925925926,0.5925925925925926,0.5555555555555556
29,0.7037037037037037,0.37037037037037035,0.48148148148148145,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5185185185185185,0.5185185185185185,0.5925925925925926,0.5925925925925926,0.5555555555555556
30,0.7037037037037037,0.37037037037037035,0.48148148148148145,0.5555555555555556,0.5555555555555556,0.5925925925925926,0.6666666666666666,0.5185185185185185,0.5185185185185185,0.5925925925925926,0.5925925925925926,0.5925925925925926
