ant_main(10),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
4,0.1,0.0,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1
5,0.2,0.0,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1
6,0.2,0.0,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2
7,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.3
8,0.2,0.0,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3
9,0.2,0.0,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3
10,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.3
11,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.4
12,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.3,0.4
13,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.3,0.2,0.3,0.3,0.4
14,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.3,0.3,0.3,0.4,0.4
15,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.4,0.4,0.5
16,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.4,0.4,0.5
17,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.4,0.4,0.5,0.5
18,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.4,0.4,0.6,0.5
19,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.6,0.5
20,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.6,0.5
21,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.4,0.5,0.6,0.5
22,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.5
23,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6
24,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6
25,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6
26,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.6
27,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.7
28,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.7
29,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.7
30,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.6,0.7
