software,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness,,
software01,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,1
software02,5.777777778,8.777777778,8.777777778,6.111111111,6.111111111,6.111111111,6.111111111,6.444444444,6.444444444,5.777777778,5.777777778,5.777777778,,2
software03,5.5,9.361111111,9.027777778,5.666666667,5.666666667,7.388888889,6.055555556,6.333333333,5.888888889,6.361111111,5.583333333,5.166666667,,3
software04,4.888888889,9.694444444,9.111111111,5.444444444,5.444444444,6.583333333,6,7.194444444,6.333333333,6.25,5.722222222,5.333333333,,4
software05,5.722222222,9.972222222,8.305555556,5.638888889,5.638888889,6.388888889,5.888888889,6.916666667,6.222222222,6.027777778,5.694444444,5.583333333,,5
software06,6.083333333,10.30555556,7.083333333,5.527777778,5.527777778,5.916666667,6.361111111,6.388888889,6.888888889,6.444444444,6,5.472222222,,6
software07,5.583333333,10.52777778,6.861111111,5.972222222,5.972222222,6,5.861111111,6.833333333,7.083333333,6.027777778,6.222222222,5.055555556,,7
software08,5.722222222,10.66666667,7.694444444,5.583333333,5.583333333,4.833333333,6.583333333,6.916666667,7.444444444,6.25,5.916666667,4.805555556,,8
software09,5.222222222,10.72222222,7.972222222,5.777777778,5.777777778,5.25,6.583333333,6.611111111,6.555555556,5.916666667,6.138888889,5.472222222,,9
software10,5.666666667,10.83333333,7.722222222,5.972222222,5.972222222,5.388888889,6.333333333,6.611111111,6.777777778,5.5,5.888888889,5.333333333,,10
software11,5.611111111,10.80555556,7.916666667,6.277777778,6.277777778,5.611111111,5.472222222,6.916666667,6.472222222,6.361111111,5.611111111,4.666666667,,11
software12,5.944444444,10.66666667,8.388888889,6.083333333,6.083333333,6.055555556,5.666666667,6.666666667,6.583333333,6,5.25,4.611111111,,12
software13,5.805555556,10.72222222,7.75,6.138888889,6.138888889,6.055555556,6.138888889,6.972222222,6.75,5.888888889,5.138888889,4.5,,13
software14,6.25,10.75,7.444444444,6.416666667,6.416666667,5.75,5.722222222,6.805555556,6.777777778,6.055555556,5.222222222,4.388888889,,14
software15,6.527777778,10.80555556,7.138888889,6.388888889,6.388888889,5.833333333,6.194444444,6.194444444,6.944444444,6.138888889,5.222222222,4.222222222,,15
software16,6.277777778,10.86111111,7.25,6.527777778,6.527777778,6.138888889,6.222222222,6.305555556,7.277777778,6.055555556,4.333333333,4.222222222,,16
software17,6.166666667,10.88888889,6.833333333,6.083333333,6.083333333,5.694444444,6.305555556,6.805555556,7.583333333,6.611111111,4.583333333,4.361111111,,17
software18,5.972222222,10.94444444,6.833333333,5.972222222,5.972222222,5.027777778,6.611111111,7.222222222,7.777777778,6,4.972222222,4.694444444,,18
software19,5.583333333,10.97222222,6.916666667,5.972222222,5.972222222,5.111111111,7.027777778,7.305555556,7.833333333,5.861111111,5.25,4.194444444,,19
software20,5.833333333,10.86111111,6.972222222,5.916666667,5.916666667,5.222222222,7,7.194444444,7.805555556,5.888888889,5.027777778,4.361111111,,20
software21,5.916666667,10.88888889,7.194444444,5.944444444,5.944444444,5.388888889,6.472222222,6.944444444,8.055555556,5.777777778,4.805555556,4.666666667,,21
software22,5.888888889,10.88888889,7.416666667,6.138888889,6.138888889,5.194444444,6.388888889,6.805555556,8.055555556,5.805555556,4.833333333,4.444444444,,22
software23,5.944444444,10.94444444,7.444444444,5.777777778,5.777777778,5.361111111,6.527777778,6.944444444,7.777777778,6.027777778,5.083333333,4.388888889,,23
software24,5.444444444,11.02777778,6.861111111,5.972222222,5.972222222,5.583333333,6.388888889,7.055555556,8,6.333333333,4.916666667,4.444444444,,24
software25,5.555555556,11.02777778,7.055555556,6.333333333,6.333333333,5.638888889,6.333333333,6.722222222,7.888888889,6.027777778,4.75,4.333333333,,25
software26,5.222222222,11.05555556,7.388888889,6.055555556,6.055555556,5.75,6.722222222,7.305555556,7.916666667,5.722222222,4.555555556,4.25,,26
software27,5.555555556,11.05555556,6.972222222,6.138888889,6.138888889,5.861111111,5.944444444,7.25,8.111111111,5.944444444,4.527777778,4.5,,27
software28,5.5,11.11111111,6.75,6.055555556,6.055555556,6.055555556,5.888888889,7.25,8.222222222,5.861111111,4.722222222,4.527777778,,28
software29,5.083333333,11.11111111,6.916666667,6.027777778,6.027777778,6,6.083333333,7.416666667,8.305555556,5.833333333,4.833333333,4.361111111,,29
software30,5.25,11.11111111,7.055555556,6,6,6.027777778,6.472222222,7.638888889,8.222222222,5.916666667,4.5,3.805555556,,30
