paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
TSPrideWithMotifCoreness vs. h-index,8.775393967042078E-9,0.14285714285714285,negligible,-0.28445583339199704,small
TSPrideWithMotifCoreness vs. a-index,0.0,0.8923395445134575,large,-0.8026325310996353,large
TSPrideWithMotifCoreness vs. k-core,0.0,0.5123152709359606,large,-0.506450889651465,large
TSPrideWithMotifCoreness vs. ForwardPageRank-Sora,1.0436096431476471E-14,0.3532934131736527,medium,-0.40973489542127634,medium
TSPrideWithMotifCoreness vs. ForwardBackPageRank-Sora,1.0436096431476471E-14,0.3532934131736527,medium,-0.40973489542127634,medium
TSPrideWithMotifCoreness vs. g-core,2.508027493908216E-6,0.14511873350923482,negligible,-0.22145666495445446,small
TSPrideWithMotifCoreness vs. MinClass,0.0,0.6206896551724138,large,-0.652886899718937,large
TSPrideWithMotifCoreness vs. TSEPageRank,0.0,0.8518518518518519,large,-0.7612218277307738,large
TSPrideWithMotifCoreness vs. LiuPageRank,0.0,0.7687861271676301,large,-0.7227449113881617,large
TSPrideWithMotifCoreness vs. TSEPageRank_v15,0.0,0.696,large,-0.6213143907127716,large
TSPrideWithMotifCoreness vs. iFit,0.028897447710426682,0.14074074074074075,negligible,-0.10683383496649278,small
