% k, BiMo
TSPrideWithMotifCoreness-1(W/T/L): ,0|198|0,0,198,0
TSPrideWithMotifCoreness-2(W/T/L): ,36|152|10,36,152,10
TSPrideWithMotifCoreness-3(W/T/L): ,62|122|14,62,122,14
TSPrideWithMotifCoreness-4(W/T/L): ,61|118|19,61,118,19
TSPrideWithMotifCoreness-5(W/T/L): ,62|107|29,62,107,29
TSPrideWithMotifCoreness-6(W/T/L): ,69|97|32,69,97,32
TSPrideWithMotifCoreness-7(W/T/L): ,76|98|24,76,98,24
TSPrideWithMotifCoreness-8(W/T/L): ,91|77|30,91,77,30
TSPrideWithMotifCoreness-9(W/T/L): ,76|83|39,76,83,39
TSPrideWithMotifCoreness-10(W/T/L): ,82|76|40,82,76,40
TSPrideWithMotifCoreness-11(W/T/L): ,101|62|35,101,62,35
TSPrideWithMotifCoreness-12(W/T/L): ,98|70|30,98,70,30
TSPrideWithMotifCoreness-13(W/T/L): ,105|60|33,105,60,33
TSPrideWithMotifCoreness-14(W/T/L): ,106|62|30,106,62,30
TSPrideWithMotifCoreness-15(W/T/L): ,112|56|30,112,56,30
TSPrideWithMotifCoreness-16(W/T/L): ,118|44|36,118,44,36
TSPrideWithMotifCoreness-17(W/T/L): ,114|47|37,114,47,37
TSPrideWithMotifCoreness-18(W/T/L): ,105|53|40,105,53,40
TSPrideWithMotifCoreness-19(W/T/L): ,114|53|31,114,53,31
TSPrideWithMotifCoreness-20(W/T/L): ,112|51|35,112,51,35
TSPrideWithMotifCoreness-21(W/T/L): ,106|52|40,106,52,40
TSPrideWithMotifCoreness-22(W/T/L): ,110|52|36,110,52,36
TSPrideWithMotifCoreness-23(W/T/L): ,110|54|34,110,54,34
TSPrideWithMotifCoreness-24(W/T/L): ,112|48|38,112,48,38
TSPrideWithMotifCoreness-25(W/T/L): ,111|54|33,111,54,33
TSPrideWithMotifCoreness-26(W/T/L): ,113|53|32,113,53,32
TSPrideWithMotifCoreness-27(W/T/L): ,107|56|35,107,56,35
TSPrideWithMotifCoreness-28(W/T/L): ,108|53|37,108,53,37
TSPrideWithMotifCoreness-29(W/T/L): ,114|47|37,114,47,37
TSPrideWithMotifCoreness-30(W/T/L): ,128|39|31,128,39,31
