ant_main(10),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.3,0.3,0.3
1%=0.02,0.5,0.5,0.5
3%=0.03,0.7,0.6,0.7
3%=0.04,0.7,0.8,0.7
5%=0.05,0.7,0.8,0.7
5%=0.06,0.7,0.8,0.8
6%=0.07,0.8,0.8,0.8
7%=0.08,0.8,0.8,0.8
8%=0.09,0.8,0.8,0.9
9%=0.10,0.8,0.8,0.9
10%=0.11,0.9,0.9,0.9
11%=0.12,0.9,0.9,0.9
12%=0.13,0.9,0.9,0.9
13%=0.14,0.9,0.9,0.9
15%=0.15,0.9,0.9,0.9
1%=0.01,0.5,0.5,0.5
1%=0.02,0.5,0.5,0.5
3%=0.03,0.6666666666666666,0.8333333333333334,0.8333333333333334
3%=0.04,0.8333333333333334,0.9166666666666666,0.9166666666666666
5%=0.05,0.9166666666666666,1.0,1.0
5%=0.06,0.9166666666666666,1.0,1.0
6%=0.07,0.9166666666666666,1.0,1.0
7%=0.08,0.9166666666666666,1.0,1.0
8%=0.09,1.0,1.0,1.0
9%=0.10,1.0,1.0,1.0
10%=0.11,1.0,1.0,1.0
11%=0.12,1.0,1.0,1.0
12%=0.13,1.0,1.0,1.0
13%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
1%=0.01,0.037037037037037,0.037037037037037,0.037037037037037
1%=0.02,0.074074074074074,0.074074074074074,0.074074074074074
3%=0.03,0.074074074074074,0.074074074074074,0.1111111111111111
3%=0.04,0.1481481481481481,0.1481481481481481,0.1481481481481481
5%=0.05,0.1851851851851851,0.1851851851851851,0.1851851851851851
5%=0.06,0.2222222222222222,0.2222222222222222,0.2222222222222222
6%=0.07,0.2592592592592592,0.2222222222222222,0.2592592592592592
7%=0.08,0.2962962962962963,0.2592592592592592,0.2962962962962963
8%=0.09,0.3333333333333333,0.2962962962962963,0.3333333333333333
9%=0.10,0.4074074074074074,0.2962962962962963,0.4074074074074074
10%=0.11,0.4074074074074074,0.3333333333333333,0.4074074074074074
11%=0.12,0.4074074074074074,0.3703703703703703,0.4074074074074074
12%=0.13,0.4074074074074074,0.4074074074074074,0.4074074074074074
13%=0.14,0.4074074074074074,0.4444444444444444,0.4074074074074074
15%=0.15,0.4444444444444444,0.4444444444444444,0.4444444444444444
1%=0.01,0.0175438596491228,0.0175438596491228,0.0175438596491228
1%=0.02,0.0350877192982456,0.0350877192982456,0.0350877192982456
3%=0.03,0.0350877192982456,0.0350877192982456,0.0350877192982456
3%=0.04,0.0350877192982456,0.0350877192982456,0.0350877192982456
5%=0.05,0.0526315789473684,0.0526315789473684,0.0526315789473684
5%=0.06,0.087719298245614,0.0701754385964912,0.087719298245614
6%=0.07,0.1228070175438596,0.1052631578947368,0.1228070175438596
7%=0.08,0.1929824561403508,0.1228070175438596,0.1929824561403508
8%=0.09,0.1929824561403508,0.1403508771929824,0.1929824561403508
9%=0.10,0.2105263157894736,0.2105263157894736,0.2105263157894736
10%=0.11,0.2105263157894736,0.2105263157894736,0.2105263157894736
