Mars(29),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.1379310344827586,0.1379310344827586,0.1379310344827586
1%=0.02,0.2413793103448276,0.2758620689655172,0.2758620689655172
3%=0.03,0.3448275862068966,0.3793103448275862,0.3793103448275862
3%=0.04,0.4137931034482758,0.4137931034482758,0.4137931034482758
5%=0.05,0.4137931034482758,0.4482758620689655,0.4137931034482758
5%=0.06,0.4137931034482758,0.4482758620689655,0.4137931034482758
6%=0.07,0.4482758620689655,0.4827586206896552,0.4827586206896552
7%=0.08,0.5172413793103449,0.5172413793103449,0.5517241379310345
8%=0.09,0.5517241379310345,0.5517241379310345,0.5517241379310345
9%=0.10,0.5862068965517241,0.5862068965517241,0.5862068965517241
10%=0.11,0.6206896551724138,0.6551724137931034,0.6206896551724138
11%=0.12,0.6206896551724138,0.6551724137931034,0.6206896551724138
12%=0.13,0.6551724137931034,0.6896551724137931,0.6551724137931034
13%=0.14,0.6896551724137931,0.6896551724137931,0.6551724137931034
15%=0.15,0.7241379310344828,0.7241379310344828,0.6896551724137931
