PDFBox(12),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.1666666666666666,0.25,0.1666666666666666
1%=0.02,0.25,0.25,0.25
3%=0.03,0.4166666666666667,0.4166666666666667,0.4166666666666667
3%=0.04,0.5833333333333334,0.5833333333333334,0.5833333333333334
5%=0.05,0.5833333333333334,0.6666666666666666,0.6666666666666666
5%=0.06,0.6666666666666666,0.6666666666666666,0.6666666666666666
6%=0.07,0.6666666666666666,0.6666666666666666,0.6666666666666666
7%=0.08,0.6666666666666666,0.6666666666666666,0.6666666666666666
8%=0.09,0.6666666666666666,0.75,0.75
9%=0.10,0.8333333333333334,0.8333333333333334,0.75
10%=0.11,0.8333333333333334,0.8333333333333334,0.8333333333333334
11%=0.12,0.8333333333333334,0.9166666666666666,0.8333333333333334
12%=0.13,0.8333333333333334,0.9166666666666666,0.8333333333333334
13%=0.14,0.9166666666666666,1.0,0.9166666666666666
15%=0.15,0.9166666666666666,1.0,0.9166666666666666
