jmeter_core(14),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.0714285714285714,0.0714285714285714,0.0714285714285714
1%=0.02,0.0714285714285714,0.0714285714285714,0.0714285714285714
3%=0.03,0.0714285714285714,0.0714285714285714,0.0714285714285714
3%=0.04,0.2142857142857142,0.1428571428571428,0.2142857142857142
5%=0.05,0.2142857142857142,0.2857142857142857,0.2857142857142857
5%=0.06,0.3571428571428571,0.3571428571428571,0.3571428571428571
6%=0.07,0.3571428571428571,0.3571428571428571,0.3571428571428571
7%=0.08,0.3571428571428571,0.3571428571428571,0.3571428571428571
8%=0.09,0.3571428571428571,0.3571428571428571,0.3571428571428571
9%=0.10,0.3571428571428571,0.4285714285714285,0.4285714285714285
10%=0.11,0.3571428571428571,0.4285714285714285,0.5
11%=0.12,0.3571428571428571,0.5,0.5
12%=0.13,0.4285714285714285,0.5,0.5
13%=0.14,0.5,0.5,0.5
15%=0.15,0.5714285714285714,0.5,0.5714285714285714
