log4j(9),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.2222222222222222,0.2222222222222222,0.2222222222222222
1%=0.02,0.3333333333333333,0.3333333333333333,0.3333333333333333
3%=0.03,0.4444444444444444,0.4444444444444444,0.4444444444444444
3%=0.04,0.5555555555555556,0.5555555555555556,0.5555555555555556
5%=0.05,0.5555555555555556,0.5555555555555556,0.5555555555555556
5%=0.06,0.6666666666666666,0.7777777777777778,0.6666666666666666
6%=0.07,0.7777777777777778,0.7777777777777778,0.7777777777777778
7%=0.08,0.7777777777777778,0.7777777777777778,0.7777777777777778
8%=0.09,0.7777777777777778,0.7777777777777778,0.7777777777777778
9%=0.10,0.7777777777777778,0.7777777777777778,0.7777777777777778
10%=0.11,0.7777777777777778,0.7777777777777778,0.7777777777777778
11%=0.12,0.7777777777777778,0.7777777777777778,0.7777777777777778
12%=0.13,0.7777777777777778,0.7777777777777778,0.7777777777777778
13%=0.14,0.7777777777777778,0.7777777777777778,0.7777777777777778
15%=0.15,0.7777777777777778,0.7777777777777778,0.7777777777777778
