wro4j(12),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1%=0.01,0.0833333333333333,0.25,0.25
1%=0.02,0.25,0.3333333333333333,0.4166666666666667
3%=0.03,0.5833333333333334,0.6666666666666666,0.6666666666666666
3%=0.04,0.9166666666666666,0.9166666666666666,0.9166666666666666
5%=0.05,1.0,1.0,1.0
5%=0.06,1.0,1.0,1.0
6%=0.07,1.0,1.0,1.0
7%=0.08,1.0,1.0,1.0
8%=0.09,1.0,1.0,1.0
9%=0.10,1.0,1.0,1.0
10%=0.11,1.0,1.0,1.0
11%=0.12,1.0,1.0,1.0
12%=0.13,1.0,1.0,1.0
13%=0.14,1.0,1.0,1.0
15%=0.15,1.0,1.0,1.0
