software,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
software01,1.916666667,2.027777778,2.055555556
software02,2.027777778,1.972222222,2
software03,2.083333333,1.916666667,2
software04,2.027777778,1.944444444,2.027777778
software05,2.138888889,1.833333333,2.027777778
software06,2.027777778,2,1.972222222
software07,2,2,2
software08,1.944444444,2.083333333,1.972222222
software09,1.916666667,2.166666667,1.916666667
software10,2.055555556,2.055555556,1.888888889
software11,2.194444444,1.888888889,1.916666667
software12,2.083333333,1.972222222,1.944444444
software13,2.194444444,1.833333333,1.972222222
software14,2.055555556,1.805555556,2.138888889
software15,1.888888889,1.972222222,2.138888889
