software13,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)12%=0.13,0.9,0.9,0.9
argouml(12)12%=0.13,1.0,1.0,1.0
gwtportlets(27)12%=0.13,0.4074074074074074,0.4074074074074074,0.4074074074074074
javaclient(57)12%=0.13,0.3157894736842105,0.2280701754385964,0.3333333333333333
jedit(7)12%=0.13,1.0,1.0,1.0
jgap(18)12%=0.13,0.3888888888888889,0.3888888888888889,0.3888888888888889
jhotdraw(9)12%=0.13,1.0,1.0,1.0
jmeter_core(14)12%=0.13,0.4285714285714285,0.5,0.5
JPMC(24)12%=0.13,0.125,0.125,0.125
log4j(9)12%=0.13,0.7777777777777778,0.7777777777777778,0.7777777777777778
Mars(29)12%=0.13,0.6551724137931034,0.6896551724137931,0.6551724137931034
Maze(27)12%=0.13,0.2592592592592592,0.2592592592592592,0.2592592592592592
neuroph(24)12%=0.13,0.5,0.5416666666666666,0.5416666666666666
PDFBox(12)12%=0.13,0.8333333333333334,0.9166666666666666,0.8333333333333334
tomcat(28)12%=0.13,0.8928571428571429,0.8928571428571429,0.8928571428571429
wro4j(12)12%=0.13,1.0,1.0,1.0
Xerces(6)12%=0.13,0.8333333333333334,0.8333333333333334,0.8333333333333334
xuml(37)12%=0.13,0.0,0.027027027027027,0.0
