JPMC(24),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0416666666666666,0.0,0.0
6,0.0416666666666666,0.0416666666666666,0.0416666666666666
7,0.0416666666666666,0.0416666666666666,0.0416666666666666
8,0.0416666666666666,0.0416666666666666,0.0416666666666666
9,0.0833333333333333,0.0416666666666666,0.0833333333333333
10,0.0833333333333333,0.0416666666666666,0.0833333333333333
11,0.0833333333333333,0.0833333333333333,0.0833333333333333
12,0.0833333333333333,0.0833333333333333,0.0833333333333333
13,0.0833333333333333,0.0833333333333333,0.0833333333333333
14,0.0833333333333333,0.0833333333333333,0.0833333333333333
15,0.0833333333333333,0.0833333333333333,0.0833333333333333
16,0.0833333333333333,0.0833333333333333,0.0833333333333333
17,0.0833333333333333,0.0833333333333333,0.0833333333333333
18,0.125,0.0833333333333333,0.0833333333333333
19,0.125,0.0833333333333333,0.125
20,0.125,0.125,0.125
21,0.125,0.125,0.125
22,0.125,0.125,0.125
23,0.125,0.1666666666666666,0.125
24,0.125,0.1666666666666666,0.125
25,0.125,0.1666666666666666,0.125
26,0.125,0.2083333333333333,0.1666666666666666
27,0.125,0.2083333333333333,0.1666666666666666
28,0.1666666666666666,0.2083333333333333,0.2083333333333333
29,0.1666666666666666,0.2083333333333333,0.2083333333333333
30,0.2083333333333333,0.2083333333333333,0.2083333333333333
