neuroph(24),TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
1,0.0,0.0,0.0
2,0.0416666666666666,0.0416666666666666,0.0416666666666666
3,0.0833333333333333,0.0833333333333333,0.0833333333333333
4,0.125,0.125,0.125
5,0.1666666666666666,0.1666666666666666,0.1666666666666666
6,0.1666666666666666,0.2083333333333333,0.1666666666666666
7,0.2083333333333333,0.2083333333333333,0.2083333333333333
8,0.2083333333333333,0.25,0.2083333333333333
9,0.25,0.25,0.25
10,0.2916666666666667,0.2916666666666667,0.2916666666666667
11,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,0.375,0.375,0.375
13,0.375,0.375,0.375
14,0.4166666666666667,0.375,0.375
15,0.4166666666666667,0.4166666666666667,0.4166666666666667
16,0.4583333333333333,0.4166666666666667,0.4166666666666667
17,0.4583333333333333,0.4583333333333333,0.4583333333333333
18,0.4583333333333333,0.4583333333333333,0.5
19,0.4583333333333333,0.4583333333333333,0.5
20,0.4583333333333333,0.5,0.5
21,0.5,0.5416666666666666,0.5416666666666666
22,0.5,0.5416666666666666,0.5416666666666666
23,0.5,0.5416666666666666,0.5416666666666666
24,0.5416666666666666,0.5833333333333334,0.5416666666666666
25,0.5416666666666666,0.5833333333333334,0.5416666666666666
26,0.5416666666666666,0.5833333333333334,0.5416666666666666
27,0.5416666666666666,0.625,0.5416666666666666
28,0.5416666666666666,0.625,0.5416666666666666
29,0.5416666666666666,0.625,0.5416666666666666
30,0.5416666666666666,0.6666666666666666,0.5416666666666666
