software22,TSPrideWithMotifCoreness-FGCS,TSPrideWithMotifCoreness-KANG,TSPrideWithMotifCoreness-SORA
ant_main(10)22,0.6,0.5,0.5
argouml(12)22,0.5833333333333334,0.6666666666666666,0.8333333333333334
gwtportlets(27)22,0.4814814814814814,0.4444444444444444,0.4444444444444444
javaclient(57)22,0.2105263157894736,0.2105263157894736,0.2105263157894736
jedit(7)22,0.8571428571428571,0.8571428571428571,0.8571428571428571
jgap(18)22,0.2222222222222222,0.1666666666666666,0.2222222222222222
jhotdraw(9)22,0.6666666666666666,0.6666666666666666,0.6666666666666666
jmeter_core(14)22,0.3571428571428571,0.3571428571428571,0.3571428571428571
JPMC(24)22,0.125,0.125,0.125
log4j(9)22,0.3333333333333333,0.3333333333333333,0.3333333333333333
Mars(29)22,0.2413793103448276,0.2758620689655172,0.2758620689655172
Maze(27)22,0.5185185185185185,0.5185185185185185,0.5555555555555556
neuroph(24)22,0.5,0.5416666666666666,0.5416666666666666
PDFBox(12)22,0.25,0.25,0.25
tomcat(28)22,0.25,0.1428571428571428,0.2142857142857142
wro4j(12)22,0.75,0.75,0.9166666666666666
Xerces(6)22,0.1666666666666666,0.1666666666666666,0.1666666666666666
xuml(37)22,0.0,0.0,0.0
