% k, BiMo
TSPrideWithMotifCoreness-1(W/T/L): ,9|25|2,9,25,2
TSPrideWithMotifCoreness-2(W/T/L): ,3|27|6,3,27,6
TSPrideWithMotifCoreness-3(W/T/L): ,10|23|3,10,23,3
TSPrideWithMotifCoreness-4(W/T/L): ,10|22|4,10,22,4
TSPrideWithMotifCoreness-5(W/T/L): ,12|20|4,12,20,4
TSPrideWithMotifCoreness-6(W/T/L): ,11|22|3,11,22,3
TSPrideWithMotifCoreness-7(W/T/L): ,13|19|4,13,19,4
TSPrideWithMotifCoreness-8(W/T/L): ,14|18|4,14,18,4
TSPrideWithMotifCoreness-9(W/T/L): ,13|20|3,13,20,3
TSPrideWithMotifCoreness-10(W/T/L): ,10|23|3,10,23,3
TSPrideWithMotifCoreness-11(W/T/L): ,9|23|4,9,23,4
TSPrideWithMotifCoreness-12(W/T/L): ,11|21|4,11,21,4
TSPrideWithMotifCoreness-13(W/T/L): ,13|19|4,13,19,4
TSPrideWithMotifCoreness-14(W/T/L): ,11|21|4,11,21,4
TSPrideWithMotifCoreness-15(W/T/L): ,13|21|2,13,21,2
