PDFBox(12),BiMo-M,BiMo-B,BiMo
1%=0.01,0.1666666716337204,0.1666666716337204,0.1666666716337204
2%=0.02,0.25,0.25,0.25
3%=0.03,0.3333333432674408,0.3333333432674408,0.4166666567325592
4%=0.04,0.4166666567325592,0.5833333134651184,0.5833333134651184
5%=0.05,0.4166666567325592,0.6666666865348816,0.5833333134651184
6%=0.06,0.5,0.75,0.6666666865348816
7%=0.07,0.5833333134651184,0.75,0.6666666865348816
8%=0.08,0.6666666865348816,0.75,0.6666666865348816
9%=0.09,0.6666666865348816,0.75,0.6666666865348816
10%=0.1,0.75,0.8333333134651184,0.8333333134651184
11%=0.11,0.8333333134651184,0.9166666865348816,0.8333333134651184
12%=0.12,0.8333333134651184,0.9166666865348816,0.8333333134651184
13%=0.13,0.8333333134651184,0.9166666865348816,0.8333333134651184
14%=0.14,0.8333333134651184,0.9166666865348816,0.9166666865348816
15%=0.15,0.9166666865348816,0.9166666865348816,0.9166666865348816
