software08,BiMo-M,BiMo-B,BiMo
ant_main(10)8%=0.08,0.800000011920929,0.800000011920929,0.800000011920929
argouml(12)8%=0.08,1.0,0.8333333134651184,0.9166666865348816
gwtportlets(27)8%=0.08,0.29629629850387573,0.29629629850387573,0.29629629850387573
javaclient(57)8%=0.08,0.14035087823867798,0.12280701845884323,0.15789473056793213
jedit(7)8%=0.08,1.0,1.0,1.0
jgap(18)8%=0.08,0.2222222238779068,0.2777777910232544,0.3333333432674408
jhotdraw(9)8%=0.08,0.8888888955116272,0.8888888955116272,1.0
jmeter_core(14)8%=0.08,0.3571428656578064,0.3571428656578064,0.3571428656578064
JPMC(24)8%=0.08,0.125,0.0,0.0833333358168602
log4j(9)8%=0.08,0.7777777910232544,0.7777777910232544,0.7777777910232544
Mars(29)8%=0.08,0.48275861144065857,0.517241358757019,0.517241358757019
Maze(27)8%=0.08,0.25925925374031067,0.29629629850387573,0.25925925374031067
neuroph(24)8%=0.08,0.375,0.4166666567325592,0.4166666567325592
PDFBox(12)8%=0.08,0.6666666865348816,0.75,0.6666666865348816
tomcat(28)8%=0.08,0.7142857313156128,0.8214285969734192,0.8571428656578064
wro4j(12)8%=0.08,1.0,1.0,1.0
Xerces(6)8%=0.08,0.6666666865348816,0.6666666865348816,0.8333333134651184
xuml(37)8%=0.08,0.0,0.0,0.0
