JPMC(24),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.0416666679084301,0.0,0.0
2%=0.02,0.0416666679084301,0.0,0.0
3%=0.03,0.0833333358168602,0.0,0.0
4%=0.04,0.0833333358168602,0.0,0.0416666679084301
5%=0.05,0.0833333358168602,0.0,0.0416666679084301
6%=0.06,0.0833333358168602,0.0,0.0833333358168602
7%=0.07,0.0833333358168602,0.0,0.0833333358168602
8%=0.08,0.125,0.0,0.0833333358168602
9%=0.09,0.125,0.0,0.0833333358168602
10%=0.1,0.125,0.0416666679084301,0.0833333358168602
11%=0.11,0.125,0.0416666679084301,0.0833333358168602
12%=0.12,0.125,0.0416666679084301,0.125
13%=0.13,0.125,0.0416666679084301,0.125
14%=0.14,0.2083333283662796,0.0416666679084301,0.125
15%=0.15,0.2083333283662796,0.0416666679084301,0.125
