Xerces(6),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0
2%=0.02,0.1666666716337204,0.0,0.1666666716337204
3%=0.03,0.1666666716337204,0.1666666716337204,0.1666666716337204
4%=0.04,0.1666666716337204,0.1666666716337204,0.1666666716337204
5%=0.05,0.1666666716337204,0.1666666716337204,0.3333333432674408
6%=0.06,0.3333333432674408,0.1666666716337204,0.6666666865348816
7%=0.07,0.3333333432674408,0.3333333432674408,0.6666666865348816
8%=0.08,0.5,0.6666666865348816,0.6666666865348816
9%=0.09,0.8333333134651184,0.8333333134651184,0.8333333134651184
10%=0.1,0.8333333134651184,0.8333333134651184,0.8333333134651184
11%=0.11,0.8333333134651184,0.8333333134651184,0.8333333134651184
12%=0.12,0.8333333134651184,0.8333333134651184,0.8333333134651184
13%=0.13,0.8333333134651184,1.0,0.8333333134651184
14%=0.14,0.8333333134651184,1.0,0.8333333134651184
15%=0.15,0.8333333134651184,1.0,0.8333333134651184
