software14,TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
ant_main(10)14%=0.14,0.8999999761581421,0.800000011920929,0.8999999761581421
argouml(12)14%=0.14,1.0,1.0,1.0
gwtportlets(27)14%=0.14,0.4444444477558136,0.4444444477558136,0.4444444477558136
javaclient(57)14%=0.14,0.31578946113586426,0.2982456088066101,0.2982456088066101
jedit(7)14%=0.14,1.0,1.0,1.0
jgap(18)14%=0.14,0.3333333432674408,0.3888888955116272,0.3888888955116272
jhotdraw(9)14%=0.14,1.0,1.0,1.0
jmeter_core(14)14%=0.14,0.5,0.5,0.5
JPMC(24)14%=0.14,0.2083333283662796,0.0416666679084301,0.125
log4j(9)14%=0.14,0.7777777910232544,0.8888888955116272,0.7777777910232544
Mars(29)14%=0.14,0.6206896305084229,0.6896551847457886,0.6896551847457886
Maze(27)14%=0.14,0.37037035822868347,0.4444444477558136,0.4444444477558136
neuroph(24)14%=0.14,0.5833333134651184,0.5833333134651184,0.5833333134651184
PDFBox(12)14%=0.14,0.9166666865348816,1.0,1.0
tomcat(28)14%=0.14,0.8571428656578064,0.9285714030265808,0.8928571343421936
wro4j(12)14%=0.14,1.0,1.0,1.0
Xerces(6)14%=0.14,0.8333333134651184,1.0,0.8333333134651184
xuml(37)14%=0.14,0.0,0.0,0.027027027681469917
