,BiMo-M,BiMo-B,BiMo,,improvements,
1% = 0.01,0.155908449,0.16833767,0.180477591,,0.157586982,0.072116485
2% = 0.02,0.250115964,0.249344359,0.241667338,,,
3% = 0.03,0.311060844,0.324214871,0.335017342,,0.077015473,0.033318863
4% = 0.04,0.389174458,0.407117424,0.411416368,,0.057151515,0.010559469
5% = 0.05,0.423519193,0.443291965,0.469141698,,0.107722403,0.05831311
6% = 0.06,0.476490396,0.477923296,0.515347108,,0.081547734,0.078305059
7% = 0.07,0.501881806,0.515305372,0.536011077,,0.068002607,0.040181427
8% = 0.08,0.547224716,0.546713447,0.570708622,,0.042914557,0.043889857
9% = 0.09,0.557076933,0.568820452,0.589675059,,0.058516381,0.036662899
10% = 0.10,0.588497345,0.58565579,0.605939913,,0.029639162,0.034634889
11% = 0.11,0.605771666,0.610096948,0.617418103,,0.019225787,0.011999986
12% = 0.12,0.609886893,0.619505114,0.629141082,,0.031570098,0.015554299
13% = 0.13,0.613928633,0.62337014,0.645315046,,0.051123879,0.035203653
14% = 0.14,0.625510055,0.651835634,0.65586732,,0.048532018,0.006185127
15% = 0.15,0.637125941,0.663313829,0.674387873,,0.058484406,0.01669503
average,0.486211553,0.496989754,0.511835436,,,
,,,,,,
,,,,max,0.157586982,0.078305059
,,,,min,0.019225787,0.006185127
