,BiMo-M,BiMo-B,BiMo,,improvements,
1% = 0.01,0.153939446,0.172654017,0.163237732,,0.060402231,
2% = 0.02,0.242510144,0.254915039,0.257641379,,0.062394235,0.010695093
3% = 0.03,0.339125218,0.329768146,0.342995661,,0.01141302,0.040111561
4% = 0.04,0.395474931,0.412077741,0.416046,,0.052016114,0.00962988
5% = 0.05,0.432778453,0.448142053,0.471125828,,0.088607403,0.051286807
6% = 0.06,0.486871286,0.484140228,0.519506425,,0.067030322,0.073049491
7% = 0.07,0.513272165,0.509394802,0.535501741,,0.04330953,0.051250894
8% = 0.08,0.530837297,0.548849614,0.558955902,,0.052970289,0.018413583
9% = 0.09,0.553471042,0.57984338,0.595891989,,0.076645287,0.027677489
10% = 0.10,0.587799226,0.602851557,0.614251199,,0.045001715,0.018909534
11% = 0.11,0.598386305,0.621009647,0.630755844,,0.054094719,0.015694115
12% = 0.12,0.61511176,0.631887536,0.644174077,,0.047247214,0.01944419
13% = 0.13,0.617426575,0.652551504,0.654150794,,0.059479492,0.002450826
14% = 0.14,0.628927163,0.659590707,0.668884854,,0.063533098,0.014090779
15% = 0.15,0.669222732,0.672158881,0.676708103,,0.011185171,0.006768075
average,0.49101025,0.505322324,0.516655169,,,
,,,,,,
,,,,max,0.088607403,0.073049491
,,,,min,0.011185171,0.002450826
