,BiMo-M,BiMo-B,BiMo,,improvements,
1% = 0.01,0.152929978,0.161410631,0.17606842,,0.151300891,0.090810555
2% = 0.02,0.248751402,0.255517199,0.246184455,,,
3% = 0.03,0.328910639,0.346699363,0.354569735,,0.078012363,0.022700855
4% = 0.04,0.403529017,0.428435766,0.438025719,,0.085487538,0.022383642
5% = 0.05,0.437481568,0.472495802,0.490060939,,0.120186483,0.037175223
6% = 0.06,0.49661134,0.513226486,0.524177868,,0.05550926,0.021338302
7% = 0.07,0.51834778,0.526223138,0.541581754,,0.044823138,0.029186508
8% = 0.08,0.551232847,0.547558538,0.558103807,,0.012464714,0.019258706
9% = 0.09,0.568068186,0.563051787,0.583297234,,0.026808486,0.035956634
10% = 0.10,0.583757486,0.591961332,0.603701716,,0.034165266,0.019833025
11% = 0.11,0.601142037,0.620554459,0.627581669,,0.043982338,0.011324083
12% = 0.12,0.614443036,0.636728422,0.641673615,,0.0443175,0.007766566
13% = 0.13,0.618558262,0.656939056,0.651403265,,0.053099288,
14% = 0.14,0.634958098,0.661920646,0.661389286,,0.041626665,
15% = 0.15,0.656573173,0.680301577,0.675909811,,0.02945085,
average,0.49435299,0.51086828,0.518201409,,,
,,,,,,
,,,,max,0.151300891,0.090810555
,,,,min,0.012464714,0.007766566
