,BiMo-M,BiMo-B,BiMo,,improvements,
1,0,0,0,,0,0
2,0.037982301,0.029137272,0.035667487,,,0.224118957
3,0.068307769,0.048133451,0.054663665,,,0.135668934
4,0.083428519,0.077363548,0.081836149,,,0.05781277
5,0.103637219,0.101425285,0.10065368,,,
6,0.108009647,0.124213351,0.119583721,,0.10715778,
7,0.133220477,0.138249212,0.142479736,,0.069503272,0.03060071
8,0.160344227,0.155854222,0.168611423,,0.05155905,0.081853419
9,0.180442699,0.173968566,0.191024709,,0.058644711,0.098041522
10,0.198507964,0.192786097,0.213450412,,0.075273796,0.107187786
11,0.231527667,0.199074234,0.228943661,,,0.150041652
12,0.246959766,0.235285519,0.249840424,,0.011664483,0.061860607
13,0.254621668,0.253701156,0.271905618,,0.067880908,0.071755534
14,0.265539434,0.283347844,0.288849252,,0.087782887,0.01941574
15,0.287947732,0.286380116,0.302022617,,0.04888,0.054621463
16,0.301936794,0.303882244,0.327730445,,0.08542732,0.078478429
17,0.306052021,0.336865205,0.350369258,,0.144802955,0.040087408
18,0.322201577,0.351140863,0.35929783,,0.115133679,0.0232299
19,0.34033526,0.35312499,0.378985939,,0.113566484,0.073234548
20,0.35091727,0.362898653,0.384129972,,0.09464539,0.058504816
21,0.365950263,0.375190184,0.395189642,,0.079899872,0.053304854
22,0.38010877,0.386967312,0.395189642,,0.039675149,0.021248125
23,0.386796013,0.394886415,0.401876885,,0.038989213,0.017702483
24,0.394409182,0.405389952,0.420334334,,0.065731614,0.036864214
25,0.411352815,0.427496957,0.433052512,,0.052752032,0.012995543
26,0.421052992,0.436084784,0.446562367,,0.060584714,0.024026482
27,0.427740234,0.441689073,0.446562367,,0.044003653,0.011033313
28,0.435970687,0.444721345,0.453506811,,0.040223172,0.019754991
29,0.442258824,0.448782423,0.456593231,,0.032411806,0.017404443
30,0.451518083,0.451672791,0.462881368,,0.025166844,0.024815701
average,0.269969262,0.273990435,0.285393172,,,
,,,,max,0.144802955,0.224118957
,,,,min,0,0
