,BiMo-M,BiMo-B,BiMo,,,
1,0,0,0,,0,0
2,0.038923351,0.033766902,0.034692828,,,0.027421112
3,0.062752214,0.059308419,0.056579374,,,
4,0.073811884,0.076540929,0.078441514,,0.062722014,0.024830963
5,0.105195553,0.101993836,0.104511705,,,0.024686482
6,0.12612906,0.127868322,0.13075869,,0.036705498,0.022604254
7,0.141156985,0.137188731,0.142744286,,0.011244934,0.04049571
8,0.166037126,0.155854222,0.163981794,,,0.052148552
9,0.170336068,0.166514786,0.188016844,,0.103799367,0.129130022
10,0.186397867,0.197861712,0.208046897,,0.116144194,0.051476281
11,0.216480404,0.213815563,0.226959534,,0.048406829,0.061473406
12,0.227383046,0.237313737,0.255087338,,0.121839743,0.074894952
13,0.240818681,0.259819848,0.270318317,,0.122497291,0.040406724
14,0.254653423,0.280768479,0.286490345,,0.125020593,0.020379303
15,0.274482356,0.302184714,0.305481536,,0.112936877,0.010909956
16,0.301231327,0.308467782,0.324974713,,0.078821105,0.053512658
17,0.322101403,0.322714046,0.335005577,,0.040062458,0.038087995
18,0.341460025,0.332291657,0.3559983,,0.042576799,0.071342878
19,0.362239211,0.347907471,0.377489528,,0.042100128,0.085028519
20,0.366354437,0.356909529,0.386234384,,0.054264245,0.082163273
21,0.381970251,0.377510067,0.403785245,,0.057111762,0.069601264
22,0.395601939,0.387486783,0.415028632,,0.049106668,0.071078164
23,0.401701292,0.396618409,0.4226418,,0.052129551,0.06561317
24,0.405674614,0.420496431,0.432787962,,0.06683521,0.029231
25,0.423022421,0.42551283,0.452250198,,0.069092737,0.062835633
26,0.430077095,0.433174731,0.454565012,,0.056938436,0.04938026
27,0.450917777,0.43414939,0.462178181,,0.024972189,0.064560245
28,0.455547407,0.451335101,0.46846125,,0.028347967,0.037945529
29,0.45760502,0.456278014,0.474634089,,0.037213466,0.040230023
30,0.469375226,0.471514061,0.478607411,,0.019669093,0.015043772
average,0.274981249,0.275772217,0.289891776,,,
,,,,max,0.125020593,0.129130022
,,,,min,0,0
