Class Path,P1,P2,P3,P4,P5,,
project-fast\src\main\java\io\linfeng\Applications.java,33,32,27,30,24,,
project-fast\src\main\java\io\linfeng\common\aspect\RedisAspect.java,57,38,31,52,33,,
project-fast\src\main\java\io\linfeng\common\aspect\SysLogAspect.java,97,76,68,101,76,,
project-fast\src\main\java\io\linfeng\common\exception\LinfengException.java,38,37,38,38,34,,
project-fast\src\main\java\io\linfeng\common\exception\LinfengExceptionHandler.java,65,58,53,68,46,,
project-fast\src\main\java\io\linfeng\common\thread\AsyncTaskExecutePool.java,48,43,30,67,42,,
project-fast\src\main\java\io\linfeng\common\utils\AppPageUtils.java,79,55,46,52,49,,
project-fast\src\main\java\io\linfeng\common\utils\CopyPageQueryUtil.java,52,40,34,46,50,,
project-fast\src\main\java\io\linfeng\common\utils\DateUtil.java,283,273,208,310,303,,
project-fast\src\main\java\io\linfeng\common\utils\DateUtils.java,72,73,56,75,55,,
project-fast\src\main\java\io\linfeng\common\utils\FileCheckUtil.java,32,28,28,37,26,,
project-fast\src\main\java\io\linfeng\common\utils\HttpContextUtils.java,62,62,53,78,51,,
project-fast\src\main\java\io\linfeng\common\utils\IPUtil.java,51,35,32,47,26,,
project-fast\src\main\java\io\linfeng\common\utils\IPUtils.java,50,46,39,59,49,,
project-fast\src\main\java\io\linfeng\common\utils\JsonUtils.java,33,22,24,31,16,,
project-fast\src\main\java\io\linfeng\common\utils\MapUtils.java,35,20,23,28,20,,
project-fast\src\main\java\io\linfeng\common\utils\PageUtils.java,52,41,39,46,32,,
project-fast\src\main\java\io\linfeng\common\utils\Query.java,80,75,63,83,78,,
project-fast\src\main\java\io\linfeng\common\utils\R.java,62,48,41,52,40,,
project-fast\src\main\java\io\linfeng\common\utils\RedisKeys.java,22,11,9,25,11,,
project-fast\src\main\java\io\linfeng\common\utils\RedisUtils.java,97,84,81,103,101,,
project-fast\src\main\java\io\linfeng\common\utils\RequestUtils.java,33,28,28,38,25,,
project-fast\src\main\java\io\linfeng\common\utils\ShiroUtils.java,74,56,59,81,73,,
project-fast\src\main\java\io\linfeng\common\utils\SpringContextUtils.java,77,76,52,79,60,,
project-fast\src\main\java\io\linfeng\common\utils\WechatUtil.java,86,79,60,94,71,,
project-fast\src\main\java\io\linfeng\common\validator\Assert.java,59,43,44,64,36,,
project-fast\src\main\java\io\linfeng\common\validator\ValidatorUtils.java,57,60,41,59,47,,
project-fast\src\main\java\io\linfeng\common\xss\HTMLFilter.java,429,423,438,444,546,,
project-fast\src\main\java\io\linfeng\common\xss\SQLFilter.java,40,27,25,38,26,,
project-fast\src\main\java\io\linfeng\common\xss\XssFilter.java,60,49,36,65,35,,
project-fast\src\main\java\io\linfeng\common\xss\XssHttpServletRequestWrapper.java,191,216,178,249,204,,
project-fast\src\main\java\io\linfeng\config\CorsConfig.java,53,36,42,49,46,,
project-fast\src\main\java\io\linfeng\config\FilterConfig.java,42,30,32,41,33,,
project-fast\src\main\java\io\linfeng\config\KaptchaConfig.java,45,33,28,34,41,,
project-fast\src\main\java\io\linfeng\config\MybatisPlusConfig.java,17,13,15,17,14,,
project-fast\src\main\java\io\linfeng\config\RedisConfig.java,63,43,51,54,57,,
project-fast\src\main\java\io\linfeng\config\ShiroConfig.java,95,92,80,90,98,,
project-fast\src\main\java\io\linfeng\config\SwaggerConfig.java,60,42,37,52,46,,
project-fast\src\main\java\io\linfeng\datasource\aspect\DataSourceAspect.java,101,89,83,88,83,,
project-fast\src\main\java\io\linfeng\datasource\config\DynamicContextHolder.java,136,112,123,109,119,,
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSource.java,37,20,26,30,24,,
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSourceConfig.java,67,46,48,52,57,,
project-fast\src\main\java\io\linfeng\datasource\config\DynamicDataSourceFactory.java,81,53,55,60,54,,
project-fast\src\main\java\io\linfeng\datasource\properties\DataSourceProperties.java,44,30,31,44,33,,
project-fast\src\main\java\io\linfeng\datasource\properties\DynamicDataSourceProperties.java,49,29,31,37,47,,
project-fast\src\main\java\io\linfeng\modules\job\config\ScheduleConfig.java,35,29,32,44,28,,
project-fast\src\main\java\io\linfeng\modules\job\controller\ScheduleJobController.java,53,58,50,72,56,,
project-fast\src\main\java\io\linfeng\modules\job\controller\ScheduleJobLogController.java,74,47,43,65,44,,
project-fast\src\main\java\io\linfeng\modules\job\dao\ScheduleJobDao.java,22,17,16,17,20,,
project-fast\src\main\java\io\linfeng\modules\job\service\impl\ScheduleJobLogServiceImpl.java,51,37,39,45,32,,
project-fast\src\main\java\io\linfeng\modules\job\service\impl\ScheduleJobServiceImpl.java,155,145,130,146,118,,
project-fast\src\main\java\io\linfeng\modules\job\service\ScheduleJobLogService.java,25,10,12,24,14,,
project-fast\src\main\java\io\linfeng\modules\job\service\ScheduleJobService.java,47,26,21,33,24,,
project-fast\src\main\java\io\linfeng\modules\job\task\ITask.java,32,23,21,29,20,,
project-fast\src\main\java\io\linfeng\modules\job\task\TestTask.java,35,29,28,33,24,,
project-fast\src\main\java\io\linfeng\modules\job\utils\ScheduleJob.java,65,58,54,70,57,,
project-fast\src\main\java\io\linfeng\modules\job\utils\ScheduleUtils.java,181,144,171,189,166,,
project-fast\src\main\java\io\linfeng\modules\oss\cloud\AliyunCloudStorageService.java,51,44,42,63,41,,
project-fast\src\main\java\io\linfeng\modules\oss\cloud\CloudStorageService.java,49,34,25,34,24,,
project-fast\src\main\java\io\linfeng\modules\oss\cloud\OSSFactory.java,54,39,39,61,50,,
project-fast\src\main\java\io\linfeng\modules\oss\cloud\QcloudCloudStorageService.java,81,72,48,87,70,,
project-fast\src\main\java\io\linfeng\modules\oss\cloud\QiniuCloudStorageService.java,54,36,35,44,47,,
project-fast\src\main\java\io\linfeng\modules\oss\controller\SysOssController.java,97,91,69,101,90,,
project-fast\src\main\java\io\linfeng\modules\oss\service\impl\SysOssServiceImpl.java,39,40,28,43,30,,
project-fast\src\main\java\io\linfeng\modules\oss\service\SysOssService.java,18,10,8,15,12,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\AbstractController.java,28,30,24,39,33,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysConfigController.java,60,36,33,56,34,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysLogController.java,38,35,30,36,29,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysLoginController.java,86,91,68,96,68,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysMenuController.java,129,136,121,153,128,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysRoleController.java,74,42,49,50,39,,
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysUserController.java,84,80,67,72,86,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysConfigDao.java,31,22,21,32,22,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysMenuDao.java,34,23,20,36,24,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysRoleDao.java,25,11,16,14,14,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysRoleMenuDao.java,35,17,17,29,21,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserDao.java,44,31,32,39,32,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserRoleDao.java,26,15,14,21,17,,
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserTokenDao.java,40,22,23,29,28,,
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Filter.java,142,122,123,150,135,,
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Realm.java,86,85,66,88,79,,
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Token.java,62,46,38,47,47,,
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\TokenGenerator.java,107,80,89,89,80,,
project-fast\src\main\java\io\linfeng\modules\sys\redis\SysConfigRedis.java,53,40,30,53,31,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\ShiroServiceImpl.java,87,72,63,77,68,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysCaptchaServiceImpl.java,60,59,66,72,47,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysConfigServiceImpl.java,107,86,82,108,90,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysLogServiceImpl.java,44,25,23,35,29,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysMenuServiceImpl.java,167,150,136,143,152,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysRoleMenuServiceImpl.java,78,66,56,75,72,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysRoleServiceImpl.java,121,85,87,113,103,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysUserRoleServiceImpl.java,58,49,51,54,45,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysUserServiceImpl.java,106,77,86,82,99,,
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysUserTokenServiceImpl.java,73,48,49,72,54,,
project-fast\src\main\java\io\linfeng\modules\sys\service\ShiroService.java,32,21,20,26,27,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysCaptchaService.java,34,27,26,35,34,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysConfigService.java,48,27,22,41,24,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysLogService.java,22,12,12,20,14,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysMenuService.java,57,27,24,40,34,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysRoleMenuService.java,39,20,14,20,23,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysRoleService.java,40,19,19,27,22,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysUserRoleService.java,35,21,23,37,22,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysUserService.java,39,22,19,34,21,,
project-fast\src\main\java\io\linfeng\modules\sys\service\SysUserTokenService.java,40,18,17,28,28,,
,7085,5806,5353,6879,5959,,
,,,,,6216.4,avg per class,59.77307692
,,,,,1.726777778,,
,,,,,median,45,
