Absolute Classe Path,P1,P2,P3,P4,P5,,
trymall\trymall-db\src\main\java\com\linfeng\db\base\BaseInterface.java,135,123,107,129,108,,
trymall\trymall-api\src\main\java\com\linfeng\api\redis\util\RedisUtils.java,579,536,543,566,562,,
trymall\trymall-common\src\main\java\com\linfeng\common\response\ApiResult.java,264,242,238,278,265,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\HomeServiceImpl.java,383,346,370,365,342,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\DiscoveryServiceImpl.java,302,286,290,312,263,,
trymall\trymall-api\src\main\java\com\linfeng\api\util\hdk\HdkApiRequest.java,144,126,121,144,114,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\GoodsServiceImpl.java,225,249,214,238,228,,
trymall\trymall-common\src\main\java\com\linfeng\common\exception\TrymallException.java,101,70,72,109,84,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\SearchServiceImpl.java,177,173,168,191,189,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\LogService.java,40,25,22,45,12,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\BrandService.java,76,68,51,60,50,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\HomeService.java,54,32,25,51,37,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSysConfigService.java,71,51,43,62,44,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\tbk\TrymallBanner.java,56,29,26,63,43,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallCourseService.java,44,51,36,62,35,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallSystemMessageService.java,65,52,49,79,53,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\UploadController.java,121,106,100,121,91,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\TrymallBannerService.java,75,49,55,80,75,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\DiscoveryService.java,39,38,22,40,13,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\GoodsService.java,36,22,20,33,16,,
trymall\trymall-api\src\main\java\com\linfeng\api\service\impl\TrymallBannerServiceImpl.java,105,96,79,121,89,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallCourseController.java,138,124,118,119,123,,
trymall\trymall-api\src\main\java\com\linfeng\api\controller\TrymallSystemMessageController.java,105,89,85,97,84,,
trymall\trymall-common\src\main\java\com\linfeng\common\domain\TrymallCourse.java,71,54,49,82,54,,
