System,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main,0.022222222,0.57037037,0,1,1,0,1,0.97037037,0.933333333,1,1,1
argouml,0.023622047,0.133858268,0,0.984251969,0.984251969,0,0.984251969,0.984251969,0.984251969,1,1,0.874015748
gwtportlets,0.05,0.5,0,1,1,0,1,1,1,1,1,1
javaclient,0,0,0,1,1,0.212121212,0.939393939,0.939393939,0.939393939,1,1,0.515151515
jedit,0.012195122,0.609756098,0,1,1,0.024390244,0.951219512,1,0.987804878,1,1,1
jgap,0.031746032,0.174603175,0,1,1,0.015873016,0.936507937,0.968253968,1,1,1,1
jhotdraw,0.048780488,0.695121951,0.012195122,1,1,0.012195122,1,1,1,1,1,1
jmeter_core,0.051282051,0.692307692,0,1,1,0,1,1,0.948717949,1,1,1
JPMC,0.086956522,0.739130435,0,1,1,0.043478261,1,1,1,1,1,1
log4j,0,0.290322581,0,1,1,0.016129032,0.989247312,0.978494624,0.956989247,1,1,1
Mars,0.017857143,0.702380952,0,0.827380952,0.827380952,0.023809524,0.964285714,1,0.970238095,0.988095238,0.988095238,1
Maze,0,0.454545455,0,1,1,0.090909091,1,1,1,1,1,1
neuroph,0.074074074,0.148148148,0,1,1,0.037037037,1,1,1,1,1,1
PDFBox,0.005050505,0.742424242,0,1,1,0,0.98989899,1,1,1,1,1
tomcat,0.017301038,0.411764706,0,1,1,0,0.993079585,0.993079585,0.993079585,0.993079585,0.993079585,1
wro4j,0.022988506,0.482758621,0,1,1,0,1,1,1,1,1,1
Xerces,0.006493506,0.493506494,0,1,1,0,0.987012987,0.967532468,0.967532468,1,1,1
xuml,0,0.48,0,1,1,0.02,0.96,0.96,1,0.96,0.96,0.92
,0.026142736,0.462277733,0.000677507,0.989535162,0.989535162,0.027552363,0.983049886,0.986743162,0.982296748,0.996731935,0.996731935,0.961620404
average_pi,97.39%,53.77%,99.93%,1.05%,1.05%,97.25%,1.70%,1.33%,1.77%,0.33%,0.33%,3.84%
