System,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
ant_main,0.133333333,0.533333333,0,1,1,0,1,1,1,1,1,1
argouml,0.1,0.033333333,0,1,1,0,1,1,1,1,1,1
gwtportlets,0.033333333,0.466666667,0,1,1,0.033333333,1,1,1,1,1,1
javaclient,0,0,0,1,1,0.233333333,0.933333333,0.933333333,0.933333333,1,1,0.533333333
jedit,0.066666667,0.3,0,1,1,0.1,1,1,1,1,1,1
jgap,0.066666667,0.1,0,1,1,0.033333333,1,1,1,1,1,1
jhotdraw,0.133333333,0.766666667,0,1,1,0.033333333,1,1,1,1,1,1
jmeter_core,0.066666667,0.666666667,0,1,1,0,1,1,0.933333333,1,1,1
JPMC,0.066666667,0.8,0,1,1,0.033333333,1,1,1,0.933333333,1,1
log4j,0,0.333333333,0,1,1,0.133333333,1,1,1,1,1,1
Mars,0.1,0.566666667,0,1,1,0.033333333,1,1,1,1,1,1
Maze,0,0.3,0,1,1,0.066666667,0.866666667,1,1,1,1,1
neuroph,0.066666667,0.2,0,1,1,0.033333333,1,1,1,1,1,1
PDFBox,0.066666667,0.666666667,0,1,1,0,1,1,1,1,1,1
tomcat,0.166666667,0.4,0,1,1,0,1,1,1,1,1,1
wro4j,0.066666667,0.466666667,0,1,1,0,1,1,1,1,1,1
Xerces,0.033333333,0.633333333,0,1,1,0,1,1,1,1,1,1
xuml,0.033333333,0.366666667,0,1,1,0.033333333,1,1,1,0.933333333,0.933333333,0.933333333
,0.066666667,0.422222222,0,1,1,0.042592593,0.988888889,0.996296296,0.992592593,0.992592593,0.996296296,0.97037037
average_pi,93.33%,57.78%,100.00%,0.00%,0.00%,95.74%,1.11%,0.37%,0.74%,0.74%,0.37%,2.96%
