software,TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
software01,1.888888888888889,2.0555555555555554,2.055555555555556
software10,2.055555555555556,1.8888888888888893,2.055555555555556
software11,1.916666666666667,2.0,2.083333333333334
software12,1.9722222222222225,1.9722222222222225,2.055555555555556
software13,1.9444444444444446,1.9444444444444449,2.111111111111111
software14,1.9722222222222223,2.0,2.0277777777777777
software15,1.9722222222222223,2.138888888888889,1.888888888888889
software02,1.9444444444444446,2.111111111111111,1.9444444444444446
software03,2.111111111111111,2.0277777777777777,1.8611111111111112
software04,2.0833333333333335,2.0,1.9166666666666667
software05,2.0,2.027777777777778,1.9722222222222223
software06,2.055555555555556,1.9722222222222225,1.9722222222222225
software07,1.8888888888888893,2.055555555555556,2.055555555555556
software08,2.0000000000000004,1.916666666666667,2.083333333333334
software09,2.0,1.8333333333333335,2.166666666666667
