software,TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
software01,2.027777778,1.944444444,2.027777778
software02,2,2.083333333,1.916666667
software03,2.111111111,2.027777778,1.861111111
software04,2.111111111,2.027777778,1.861111111
software05,2.083333333,2.027777778,1.888888889
software06,1.972222222,1.972222222,2.055555556
software07,2,2.083333333,1.916666667
software08,2,2,2
software09,2.027777778,1.805555556,2.166666667
software10,2.055555556,1.888888889,2.055555556
software11,2.027777778,1.944444444,2.027777778
software12,2.111111111,1.972222222,1.916666667
software13,2.027777778,1.944444444,2.027777778
software14,2.138888889,2.083333333,1.777777778
software15,1.944444444,2.194444444,1.861111111
