software,TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
software01,2.222222222,1.861111111,1.916666667
software02,2.027777778,2.111111111,1.861111111
software03,2.25,1.833333333,1.916666667
software04,2.111111111,1.861111111,2.027777778
software05,2.055555556,2.138888889,1.805555556
software06,1.972222222,1.972222222,2.055555556
software07,1.972222222,2.055555556,1.972222222
software08,2.027777778,2.111111111,1.861111111
software09,1.972222222,1.888888889,2.138888889
software10,2.027777778,1.944444444,2.027777778
software11,2.055555556,1.916666667,2.027777778
software12,2,2.027777778,1.972222222
software13,2,2,2
software14,2.027777778,1.944444444,2.027777778
software15,2.055555556,1.972222222,1.972222222
