software,TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
software01,2.055555555555556,2.055555555555556,1.8888888888888895
software10,2.083333333333334,1.9166666666666672,2.0000000000000004
software11,1.8888888888888893,2.055555555555556,2.055555555555556
software12,1.8888888888888893,2.055555555555556,2.055555555555556
software13,2.027777777777778,1.8611111111111116,2.1111111111111116
software14,2.0,2.0,2.0
software15,2.1388888888888893,1.8055555555555558,2.055555555555556
software16,1.9722222222222225,1.9722222222222223,2.055555555555556
software17,2.2222222222222223,1.8055555555555558,1.9722222222222223
software18,2.0833333333333335,2.0277777777777777,1.8888888888888893
software19,2.0277777777777777,1.972222222222222,2.0000000000000004
software02,2.055555555555556,1.9722222222222228,1.9722222222222228
software20,2.0,2.0833333333333335,1.916666666666667
software21,2.0277777777777777,2.111111111111111,1.8611111111111114
software22,2.055555555555556,1.9722222222222228,1.9722222222222228
software23,2.0833333333333335,2.0833333333333335,1.8333333333333333
software24,1.9444444444444446,2.1388888888888893,1.916666666666667
software25,1.9722222222222223,2.2222222222222223,1.8055555555555558
software26,2.0,2.1666666666666665,1.8333333333333337
software27,1.9722222222222223,2.2222222222222223,1.8055555555555558
software28,1.8333333333333335,2.166666666666667,2.0000000000000004
software29,1.9722222222222225,2.1388888888888893,1.8888888888888895
software03,1.9444444444444449,1.9444444444444446,2.111111111111111
software30,1.8611111111111114,2.194444444444445,1.9444444444444446
software04,2.055555555555556,1.9722222222222225,1.9722222222222223
software05,2.0277777777777777,2.0277777777777777,1.9444444444444446
software06,2.027777777777778,2.0277777777777777,1.9444444444444444
software07,1.9722222222222225,1.9722222222222225,2.0555555555555554
software08,1.9166666666666667,2.0833333333333335,2.0
software09,2.0000000000000004,2.0833333333333335,1.9166666666666672
