software,TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
software01,2.055555556,2.055555556,1.888888889
software02,2,2,2
software03,2.055555556,1.972222222,1.972222222
software04,2.027777778,2.027777778,1.944444444
software05,2.111111111,2.027777778,1.861111111
software06,2.055555556,2.055555556,1.888888889
software07,2.027777778,2,1.972222222
software08,1.916666667,2.083333333,2
software09,2,2,2
software10,2.027777778,2.027777778,1.944444444
software11,1.972222222,2.055555556,1.972222222
software12,2.027777778,1.944444444,2.027777778
software13,1.972222222,1.888888889,2.138888889
software14,2.138888889,1.722222222,2.138888889
software15,2.055555556,1.805555556,2.138888889
software16,2,2.027777778,1.972222222
software17,2.138888889,1.916666667,1.944444444
software18,2.166666667,2,1.833333333
software19,2.111111111,1.944444444,1.944444444
software20,1.972222222,2.083333333,1.944444444
software21,2.166666667,1.944444444,1.888888889
software22,2.111111111,1.861111111,2.027777778
software23,2.027777778,1.861111111,2.111111111
software24,2.138888889,1.888888889,1.972222222
software25,2.083333333,2,1.916666667
software26,1.916666667,2.083333333,2
software27,1.972222222,2.055555556,1.972222222
software28,1.888888889,2.138888889,1.972222222
software29,1.833333333,2.166666667,2
software30,1.916666667,2.166666667,1.916666667
