software,TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
software01,2.083333333,2,1.916666667
software02,2.138888889,1.888888889,1.972222222
software03,2.055555556,1.972222222,1.972222222
software04,2.083333333,1.972222222,1.944444444
software05,2.027777778,2.083333333,1.888888889
software06,2.083333333,2,1.916666667
software07,2.083333333,2,1.916666667
software08,2.055555556,2.055555556,1.888888889
software09,1.972222222,2.138888889,1.888888889
software10,1.944444444,2.194444444,1.861111111
software11,2,2.083333333,1.916666667
software12,1.972222222,2.055555556,1.972222222
software13,1.972222222,1.972222222,2.055555556
software14,1.944444444,2.027777778,2.027777778
software15,2.138888889,1.805555556,2.055555556
software16,2.083333333,1.916666667,2
software17,2.111111111,2.027777778,1.861111111
software18,2.166666667,1.833333333,2
software19,2.138888889,1.972222222,1.888888889
software20,2.111111111,2.055555556,1.833333333
software21,1.888888889,2.083333333,2.027777778
software22,1.972222222,2,2.027777778
software23,2.111111111,1.944444444,1.944444444
software24,2.138888889,1.916666667,1.944444444
software25,2.166666667,1.916666667,1.916666667
software26,1.944444444,2.111111111,1.944444444
software27,2.083333333,1.916666667,2
software28,1.972222222,2.166666667,1.861111111
software29,1.944444444,2.111111111,1.944444444
software30,2.055555556,2.027777778,1.916666667
