ant_main(10),TSPrideWithMotifCoreness_new_lsi,TSPrideWithMotifCoreness_new_jsd,TSPrideWithMotifCoreness_new_vsm
1,0.1,0.1,0.1
2,0.1,0.1,0.1
3,0.1,0.1,0.1
4,0.1,0.1,0.1
5,0.2,0.2,0.2
6,0.3,0.3,0.3
7,0.3,0.3,0.3
8,0.3,0.3,0.3
9,0.3,0.4,0.3
10,0.4,0.4,0.4
11,0.4,0.4,0.4
12,0.4,0.4,0.4
13,0.4,0.4,0.4
14,0.5,0.5,0.5
15,0.5,0.5,0.5
16,0.5,0.5,0.5
17,0.5,0.5,0.5
18,0.5,0.5,0.5
19,0.5,0.5,0.5
20,0.5,0.5,0.5
21,0.5,0.6,0.6
22,0.6,0.6,0.6
23,0.6,0.6,0.6
24,0.6,0.6,0.6
25,0.6,0.7,0.7
26,0.7,0.7,0.7
27,0.7,0.7,0.7
28,0.7,0.7,0.7
29,0.7,0.7,0.7
30,0.7,0.7,0.7
1,0.08333333333333333,0.08333333333333333,0.08333333333333333
2,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,0.25,0.25,0.25
4,0.25,0.25,0.25
5,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,0.4166666666666667,0.4166666666666667,0.4166666666666667
8,0.5,0.4166666666666667,0.4166666666666667
9,0.5,0.5,0.5
10,0.5,0.5,0.5
11,0.5,0.5,0.5
12,0.5,0.5,0.5
13,0.5,0.5,0.5
14,0.5,0.5,0.5
15,0.5,0.5,0.5
16,0.5833333333333334,0.5,0.5833333333333334
17,0.6666666666666666,0.5833333333333334,0.6666666666666666
18,0.75,0.6666666666666666,0.75
19,0.8333333333333334,0.75,0.75
20,0.8333333333333334,0.75,0.75
21,0.8333333333333334,0.8333333333333334,0.8333333333333334
22,0.8333333333333334,0.8333333333333334,0.8333333333333334
23,0.8333333333333334,0.8333333333333334,0.8333333333333334
24,0.8333333333333334,0.8333333333333334,0.8333333333333334
25,0.9166666666666666,0.8333333333333334,0.8333333333333334
26,0.9166666666666666,0.8333333333333334,0.8333333333333334
27,0.9166666666666666,0.8333333333333334,0.8333333333333334
28,0.9166666666666666,0.8333333333333334,0.8333333333333334
