software,PrideWithMotifPride,TSPrideWithMotifCoreness
software01,1.555555556,1.444444444
software02,1.555555556,1.444444444
software03,1.555555556,1.444444444
software04,1.555555556,1.444444444
software05,1.527777778,1.472222222
software06,1.444444444,1.555555556
software07,1.416666667,1.583333333
software08,1.472222222,1.527777778
software09,1.527777778,1.472222222
software10,1.583333333,1.416666667
software11,1.555555556,1.444444444
software12,1.555555556,1.444444444
software13,1.638888889,1.361111111
software14,1.611111111,1.388888889
software15,1.75,1.25
software16,1.75,1.25
software17,1.694444444,1.305555556
software18,1.722222222,1.277777778
software19,1.722222222,1.277777778
software20,1.777777778,1.222222222
software21,1.777777778,1.222222222
software22,1.75,1.25
software23,1.722222222,1.277777778
software24,1.722222222,1.277777778
software25,1.694444444,1.305555556
software26,1.694444444,1.305555556
software27,1.722222222,1.277777778
software28,1.694444444,1.305555556
software29,1.722222222,1.277777778
software30,1.75,1.25
