software,PrideWithMotifPride,TSPrideWithMotifCoreness
software01,1.555555556,1.444444444
software02,1.583333333,1.416666667
software03,1.611111111,1.388888889
software04,1.75,1.25
software05,1.666666667,1.333333333
software06,1.722222222,1.277777778
software07,1.666666667,1.333333333
software08,1.722222222,1.277777778
software09,1.722222222,1.277777778
software10,1.722222222,1.277777778
software11,1.722222222,1.277777778
software12,1.722222222,1.277777778
software13,1.722222222,1.277777778
software14,1.638888889,1.361111111
software15,1.722222222,1.277777778
