software,PrideWithMotifPride,TSPrideWithMotifCoreness
software01,1.5277777777777775,1.4722222222222219
software10,1.5555555555555551,1.4444444444444442
software11,1.6111111111111107,1.3888888888888888
software12,1.5555555555555556,1.4444444444444444
software13,1.5833333333333333,1.4166666666666667
software14,1.6388888888888888,1.3611111111111112
software15,1.638888888888889,1.3611111111111112
software16,1.6944444444444444,1.3055555555555558
software17,1.6388888888888888,1.3611111111111112
software18,1.6666666666666667,1.3333333333333333
software19,1.6666666666666665,1.3333333333333335
software02,1.5833333333333328,1.4166666666666663
software20,1.6944444444444444,1.3055555555555556
software21,1.6111111111111112,1.3888888888888888
software22,1.6666666666666667,1.3333333333333335
software23,1.611111111111111,1.388888888888889
software24,1.611111111111111,1.3888888888888888
software25,1.7222222222222223,1.277777777777778
software26,1.7222222222222223,1.277777777777778
software27,1.7500000000000002,1.25
software28,1.75,1.25
software29,1.777777777777778,1.222222222222222
software03,1.4999999999999998,1.5
software30,1.777777777777778,1.222222222222222
software04,1.472222222222222,1.5277777777777775
software05,1.4999999999999998,1.4999999999999996
software06,1.5277777777777775,1.472222222222222
software07,1.5833333333333333,1.4166666666666665
software08,1.5277777777777775,1.472222222222222
software09,1.5555555555555551,1.4444444444444442
