% k, BiMo
TSPrideWithMotifCoreness-1(W/T/L): ,5|10|3,5,10,3
TSPrideWithMotifCoreness-2(W/T/L): ,6|9|3,6,9,3
TSPrideWithMotifCoreness-3(W/T/L): ,7|8|3,7,8,3
TSPrideWithMotifCoreness-4(W/T/L): ,10|7|1,10,7,1
TSPrideWithMotifCoreness-5(W/T/L): ,8|8|2,8,8,2
TSPrideWithMotifCoreness-6(W/T/L): ,8|10|0,8,10,0
TSPrideWithMotifCoreness-7(W/T/L): ,8|8|2,8,8,2
TSPrideWithMotifCoreness-8(W/T/L): ,9|8|1,9,8,1
TSPrideWithMotifCoreness-9(W/T/L): ,9|8|1,9,8,1
TSPrideWithMotifCoreness-10(W/T/L): ,9|8|1,9,8,1
TSPrideWithMotifCoreness-11(W/T/L): ,10|6|2,10,6,2
TSPrideWithMotifCoreness-12(W/T/L): ,9|8|1,9,8,1
TSPrideWithMotifCoreness-13(W/T/L): ,10|6|2,10,6,2
TSPrideWithMotifCoreness-14(W/T/L): ,8|7|3,8,7,3
TSPrideWithMotifCoreness-15(W/T/L): ,10|6|2,10,6,2
