% k, BiMo
TSPrideWithMotifCoreness-1(W/T/L): ,3|12|3,3,12,3
TSPrideWithMotifCoreness-2(W/T/L): ,6|8|4,6,8,4
TSPrideWithMotifCoreness-3(W/T/L): ,9|7|2,9,7,2
TSPrideWithMotifCoreness-4(W/T/L): ,8|9|1,8,9,1
TSPrideWithMotifCoreness-5(W/T/L): ,10|5|3,10,5,3
TSPrideWithMotifCoreness-6(W/T/L): ,11|6|1,11,6,1
TSPrideWithMotifCoreness-7(W/T/L): ,11|5|2,11,5,2
TSPrideWithMotifCoreness-8(W/T/L): ,10|8|0,10,8,0
TSPrideWithMotifCoreness-9(W/T/L): ,10|8|0,10,8,0
TSPrideWithMotifCoreness-10(W/T/L): ,10|6|2,10,6,2
TSPrideWithMotifCoreness-11(W/T/L): ,11|6|1,11,6,1
TSPrideWithMotifCoreness-12(W/T/L): ,13|3|2,13,3,2
TSPrideWithMotifCoreness-13(W/T/L): ,8|9|1,8,9,1
TSPrideWithMotifCoreness-14(W/T/L): ,10|7|1,10,7,1
TSPrideWithMotifCoreness-15(W/T/L): ,9|6|3,9,6,3
