% k, BiMo,fgcs,,,kang,,,sora,,
TSPrideWithMotifCoreness-1(W/T/L): ,2|16|0,2,16,0,1,17,0,1,16,1
TSPrideWithMotifCoreness-2(W/T/L): ,2|16|0,2,16,0,3,15,0,2,15,1
TSPrideWithMotifCoreness-3(W/T/L): ,5|10|3,5,10,3,2,14,2,1,15,2
TSPrideWithMotifCoreness-4(W/T/L): ,4|12|2,4,12,2,2,13,3,3,14,1
TSPrideWithMotifCoreness-5(W/T/L): ,3|13|2,3,13,2,2,14,2,1,15,2
TSPrideWithMotifCoreness-6(W/T/L): ,1|14|3,1,14,3,3,13,2,2,12,4
TSPrideWithMotifCoreness-7(W/T/L): ,2|11|5,2,11,5,5,11,2,1,13,4
TSPrideWithMotifCoreness-8(W/T/L): ,3|11|4,3,11,4,4,11,3,4,9,5
TSPrideWithMotifCoreness-9(W/T/L): ,5|9|4,5,9,4,5,10,3,5,10,3
TSPrideWithMotifCoreness-10(W/T/L): ,7|7|4,7,7,4,4,12,2,4,13,1
TSPrideWithMotifCoreness-11(W/T/L): ,7|6|5,7,6,5,6,10,2,5,12,1
TSPrideWithMotifCoreness-12(W/T/L): ,7|6|5,7,6,5,7,6,5,7,7,4
TSPrideWithMotifCoreness-13(W/T/L): ,9|5|4,9,5,4,8,5,5,7,7,4
TSPrideWithMotifCoreness-14(W/T/L): ,8|6|4,8,6,4,8,7,3,9,5,4
TSPrideWithMotifCoreness-15(W/T/L): ,11|5|2,11,5,2,9,5,4,11,3,4
TSPrideWithMotifCoreness-16(W/T/L): ,10|7|1,10,7,1,10,5,3,11,3,4
TSPrideWithMotifCoreness-17(W/T/L): ,10|5|3,10,5,3,8,7,3,8,6,4
TSPrideWithMotifCoreness-18(W/T/L): ,11|4|3,11,4,3,9,6,3,9,6,3
TSPrideWithMotifCoreness-19(W/T/L): ,10|6|2,10,6,2,8,8,2,8,9,1
TSPrideWithMotifCoreness-20(W/T/L): ,11|6|1,11,6,1,9,7,2,9,9,0
TSPrideWithMotifCoreness-21(W/T/L): ,11|6|1,11,6,1,7,8,3,10,8,0
TSPrideWithMotifCoreness-22(W/T/L): ,10|7|1,10,7,1,8,8,2,12,5,1
TSPrideWithMotifCoreness-23(W/T/L): ,9|8|1,9,8,1,8,6,4,11,6,1
TSPrideWithMotifCoreness-24(W/T/L): ,9|8|1,9,8,1,7,8,3,11,6,1
TSPrideWithMotifCoreness-25(W/T/L): ,9|7|2,9,7,2,11,4,3,11,5,2
TSPrideWithMotifCoreness-26(W/T/L): ,9|7|2,9,7,2,10,6,2,10,5,3
TSPrideWithMotifCoreness-27(W/T/L): ,9|8|1,9,8,1,11,5,2,10,5,3
TSPrideWithMotifCoreness-28(W/T/L): ,10|5|3,10,5,3,11,5,2,10,6,2
TSPrideWithMotifCoreness-29(W/T/L): ,11|4|3,11,4,3,12,4,2,10,6,2
TSPrideWithMotifCoreness-30(W/T/L): ,11|5|2,11,5,2,12,4,2,11,5,2
sum,,226,240,74,210,254,76,214,256,70
sum,,226|240|74,210|254|76,214|256|70,,,,,,
WTL%,,0.418518518518519|0.444444444444444|0.137037037037037,0.388888888888889|0.47037037037037|0.140740740740741,0.396296296296296|0.474074074074074|0.12962962962963,,,,,,
no worse,,86.3%,85.9%,87.0%,,,,,,
,,41.9%,44.4%,13.7%,38.9%,47.0%,14.1%,39.6%,47.4%,13.0%
