% k, BiMo
TSPrideWithMotifCoreness-1(W/T/L): ,2|15|1,2,15,1
TSPrideWithMotifCoreness-2(W/T/L): ,5|9|4,5,9,4
TSPrideWithMotifCoreness-3(W/T/L): ,7|8|3,7,8,3
TSPrideWithMotifCoreness-4(W/T/L): ,8|7|3,8,7,3
TSPrideWithMotifCoreness-5(W/T/L): ,9|7|2,9,7,2
TSPrideWithMotifCoreness-6(W/T/L): ,9|7|2,9,7,2
TSPrideWithMotifCoreness-7(W/T/L): ,9|6|3,9,6,3
TSPrideWithMotifCoreness-8(W/T/L): ,9|9|0,9,9,0
TSPrideWithMotifCoreness-9(W/T/L): ,12|6|0,12,6,0
TSPrideWithMotifCoreness-10(W/T/L): ,13|4|1,13,4,1
TSPrideWithMotifCoreness-11(W/T/L): ,11|6|1,11,6,1
TSPrideWithMotifCoreness-12(W/T/L): ,10|6|2,10,6,2
TSPrideWithMotifCoreness-13(W/T/L): ,10|6|2,10,6,2
TSPrideWithMotifCoreness-14(W/T/L): ,9|4|5,9,4,5
TSPrideWithMotifCoreness-15(W/T/L): ,8|7|3,8,7,3
