Mars(29),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.0,0.0
2,0.0,0.034482758620689655
3,0.034482758620689655,0.034482758620689655
4,0.034482758620689655,0.034482758620689655
5,0.06896551724137931,0.06896551724137931
6,0.06896551724137931,0.06896551724137931
7,0.06896551724137931,0.06896551724137931
8,0.06896551724137931,0.10344827586206896
9,0.10344827586206896,0.13793103448275862
10,0.13793103448275862,0.13793103448275862
11,0.1724137931034483,0.13793103448275862
12,0.1724137931034483,0.13793103448275862
13,0.1724137931034483,0.1724137931034483
14,0.1724137931034483,0.20689655172413793
15,0.1724137931034483,0.20689655172413793
16,0.1724137931034483,0.20689655172413793
17,0.1724137931034483,0.2413793103448276
18,0.1724137931034483,0.2413793103448276
19,0.1724137931034483,0.2413793103448276
20,0.1724137931034483,0.27586206896551724
21,0.1724137931034483,0.27586206896551724
22,0.1724137931034483,0.27586206896551724
23,0.1724137931034483,0.3103448275862069
24,0.20689655172413793,0.3103448275862069
25,0.20689655172413793,0.3103448275862069
26,0.2413793103448276,0.3103448275862069
27,0.2413793103448276,0.3103448275862069
28,0.2413793103448276,0.3103448275862069
29,0.2413793103448276,0.3448275862068966
30,0.2413793103448276,0.3448275862068966
