argouml(12),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.08333333333333333,0.08333333333333333
2,0.16666666666666666,0.16666666666666666
3,0.25,0.25
4,0.3333333333333333,0.25
5,0.3333333333333333,0.3333333333333333
6,0.4166666666666667,0.3333333333333333
7,0.4166666666666667,0.4166666666666667
8,0.4166666666666667,0.5
9,0.4166666666666667,0.5
10,0.5,0.5
11,0.5,0.5
12,0.5833333333333334,0.5
13,0.5833333333333334,0.5
14,0.5833333333333334,0.5
15,0.6666666666666666,0.5
16,0.6666666666666666,0.5
17,0.6666666666666666,0.5
18,0.6666666666666666,0.5833333333333334
19,0.6666666666666666,0.6666666666666666
20,0.75,0.75
21,0.75,0.8333333333333334
22,0.75,0.8333333333333334
23,0.75,0.8333333333333334
24,0.75,0.8333333333333334
25,0.75,0.8333333333333334
26,0.75,0.8333333333333334
27,0.75,0.8333333333333334
28,0.75,0.8333333333333334
29,0.75,0.8333333333333334
30,0.75,0.8333333333333334
