wro4j(12),PrideWithMotifPride,TSPrideWithMotifCoreness
1,0.08333333333333333,0.0
2,0.08333333333333333,0.0
3,0.16666666666666666,0.08333333333333333
4,0.16666666666666666,0.16666666666666666
5,0.25,0.25
6,0.25,0.25
7,0.25,0.25
8,0.3333333333333333,0.3333333333333333
9,0.3333333333333333,0.3333333333333333
10,0.3333333333333333,0.3333333333333333
11,0.3333333333333333,0.4166666666666667
12,0.3333333333333333,0.4166666666666667
13,0.4166666666666667,0.4166666666666667
14,0.4166666666666667,0.4166666666666667
15,0.4166666666666667,0.5
16,0.4166666666666667,0.5833333333333334
17,0.5,0.6666666666666666
18,0.5,0.75
19,0.5,0.75
20,0.5833333333333334,0.8333333333333334
21,0.5833333333333334,0.9166666666666666
22,0.6666666666666666,0.9166666666666666
23,0.75,0.9166666666666666
24,0.8333333333333334,1.0
25,0.9166666666666666,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
