ant,h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,PrideWithMotifCoreness
1%=0.01,0.13659671,0,0.120840844,0.13360118,0.13360118,0.119501035,0.139610071,0.128047905,0.133449139,0.138960604,0.151178648,0.16833767
2%=0.02,0.245947018,0.003559115,0.180056519,0.205150116,0.205150116,0.1970461,0.227436276,0.205999849,0.209416878,0.233471346,0.253986408,0.249344359
3%=0.03,0.302323342,0.003559115,0.292274993,0.266388516,0.266388516,0.230039195,0.270766519,0.286004766,0.26719957,0.296833925,0.320949806,0.324214871
4%=0.04,0.350003539,0.006562117,0.344185711,0.318700275,0.318700275,0.273126505,0.331360947,0.333418051,0.31516366,0.357225374,0.383087444,0.407117424
5%=0.05,0.390592397,0.011622734,0.366253768,0.356136498,0.356136498,0.33978861,0.367094566,0.371609326,0.350491251,0.405285337,0.435397271,0.443291965
6%=0.06,0.427158779,0.014625737,0.382684935,0.410290828,0.410290828,0.364371675,0.398037322,0.395144243,0.391658718,0.451228557,0.472735253,0.477923296
7%=0.07,0.466524978,0.02167048,0.396544084,0.449858153,0.449858153,0.388592377,0.434554969,0.446009103,0.414770121,0.467488341,0.501551123,0.515305372
8%=0.08,0.489320046,0.030547412,0.44725655,0.466394477,0.466394477,0.431395448,0.478242504,0.463927395,0.442966427,0.509597858,0.528838903,0.546713447
9%=0.09,0.518868499,0.034106527,0.469897294,0.488325119,0.488325119,0.472187709,0.503087837,0.487481652,0.469587767,0.520956544,0.555428565,0.568820452
10%=0.1,0.544590596,0.041224756,0.496060311,0.513944333,0.513944333,0.503048875,0.524589891,0.502252374,0.487390761,0.528049894,0.594971131,0.58565579
11%=0.11,0.558610986,0.045266497,0.539181663,0.536132173,0.536132173,0.527443258,0.546361142,0.510524637,0.511278845,0.559900822,0.60392604,0.610096948
12%=0.12,0.603285597,0.047250624,0.570204501,0.547456048,0.547456048,0.557800049,0.554848795,0.533733937,0.517304711,0.60002621,0.616131749,0.619505114
13%=0.13,0.622945084,0.063097137,0.592688239,0.565761109,0.565761109,0.574079175,0.574396122,0.544977322,0.530367847,0.613860954,0.626963693,0.62337014
14%=0.14,0.639812098,0.064598637,0.602353608,0.580680738,0.580680738,0.589701991,0.607886565,0.579111657,0.536325295,0.627127141,0.643470623,0.651835634
15%=0.15,0.650721762,0.078845027,0.621552843,0.593243847,0.593243847,0.607597814,0.621234444,0.603391571,0.554072209,0.640692341,0.656437903,0.663313829
