paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
PrideWithMotifCoreness vs. h-index,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. a-index,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. k-core,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. ForwardPageRank-Sora,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. ForwardBackPageRank-Sora,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. g-core,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. MinClass,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. TSEPageRank,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. LiuPageRank,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. TSEPageRank_v15,5.900025982612522E-4,1.0,large,-0.8798826901281196,large
PrideWithMotifCoreness vs. iFit,0.013487378597561772,0.6,large,-0.6305825945918192,large
