k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
1%=0.01,0.18505814,0.190613696,0.190613696,0.192529405,0.192529405,0.187983317,0.19525845,0.19525845,0.197242577,0.195326868,0.191353546,0.186723917,0.198452312,0.190581942,0.192566069,0.18580534,0.174407632,0.159592817,0.180477591
2%=0.02,0.292169403,0.286423209,0.280402412,0.28238654,0.28194562,0.285186363,0.287170491,0.28254086,0.269822683,0.271806809,0.273864422,0.271880296,0.271880296,0.273643964,0.280588407,0.276289465,0.258488323,0.244599433,0.241667338
3%=0.03,0.347394351,0.356653608,0.358569316,0.361655736,0.373678077,0.374687544,0.378342517,0.378342517,0.380326645,0.366437758,0.385879921,0.38859384,0.386725013,0.372174746,0.372243162,0.367241036,0.355777188,0.346517929,0.335017342
4%=0.04,0.394256143,0.402210056,0.40617831,0.40617831,0.416765391,0.418436231,0.41733394,0.42098891,0.439727886,0.43322436,0.435208486,0.437523301,0.437523301,0.438184676,0.446525359,0.4455507,0.444668868,0.424234641,0.411416368
5%=0.05,0.440594253,0.444249223,0.450463872,0.448479743,0.450463869,0.466667572,0.473281333,0.477318003,0.482719238,0.476436169,0.489737172,0.486650752,0.483564332,0.49184893,0.498131999,0.49195916,0.495927413,0.503540584,0.469141698
6%=0.06,0.471012545,0.477685513,0.506744237,0.508728363,0.501298907,0.506920601,0.513534355,0.518163987,0.522793616,0.518825362,0.518825362,0.516909654,0.526433465,0.52187732,0.528618712,0.526303896,0.525201602,0.527259215,0.515347108
7%=0.07,0.506070521,0.521705675,0.529862643,0.532177458,0.54242878,0.545515198,0.545515198,0.536059803,0.538043933,0.538043933,0.549772329,0.549110954,0.544168041,0.541596026,0.545894968,0.54397926,0.546294074,0.543207655,0.536011077
8%=0.08,0.538920779,0.546950115,0.546950115,0.564807255,0.571421009,0.567452756,0.564366336,0.563749051,0.56992189,0.573890143,0.56833459,0.570318716,0.56279872,0.565113536,0.554531527,0.556846342,0.556447236,0.55658914,0.570708622
9%=0.09,0.563724303,0.562273919,0.577118122,0.586597839,0.583511419,0.575574912,0.581130465,0.586201011,0.586201011,0.592084973,0.596315499,0.589168,0.591482814,0.585927261,0.585927261,0.585927261,0.57541367,0.573356058,0.589675059
10%=0.1,0.578881792,0.592202127,0.606683972,0.602012535,0.58878502,0.592758341,0.606801549,0.602833295,0.604749005,0.603578295,0.606664715,0.606664715,0.608004871,0.604918451,0.598745611,0.598745611,0.590875245,0.586901923,0.605939913
11%=0.11,0.590408722,0.609571207,0.619822527,0.611996252,0.62269584,0.614869559,0.616785269,0.626642554,0.626642554,0.61793444,0.615876826,0.615876826,0.614902168,0.617216982,0.617216982,0.612986461,0.615301277,0.60151527,0.617418103
12%=0.12,0.616099143,0.63228544,0.636946742,0.641473491,0.64121629,0.640045578,0.635788449,0.632964298,0.632964298,0.632964298,0.628996043,0.622198571,0.621223912,0.623281525,0.623281525,0.625596341,0.623208039,0.625522853,0.629141082
13%=0.13,0.627281114,0.64373188,0.660677795,0.662593505,0.666566824,0.66553802,0.660393985,0.651538899,0.651538899,0.651538899,0.649486356,0.642426614,0.628224438,0.630282051,0.630612739,0.630612739,0.624182697,0.626497512,0.645315046
14%=0.14,0.628255772,0.663915908,0.671529075,0.671529075,0.675575886,0.672489464,0.668631439,0.668631439,0.655403925,0.659776353,0.655808101,0.654833443,0.653731149,0.656045963,0.651673537,0.644760764,0.649647597,0.647332782,0.65586732
15%=0.15,0.65078122,0.67142078,0.677309814,0.679367426,0.683340746,0.681498526,0.683041735,0.674953186,0.673924382,0.667751541,0.668761007,0.668761007,0.671075821,0.675049146,0.682765197,0.680854556,0.676739328,0.665826632,0.674387873
,0.49539388,0.506792824,0.514658177,0.516834196,0.519481539,0.519708265,0.521825034,0.521079084,0.522134836,0.51997468,0.522325625,0.520509374,0.52001271,0.519182835,0.520621537,0.518230595,0.514172013,0.508832963,0.511835436
