paired methods,Wilcoxon p,Cliff's delta,effect size (delta),Wilcoxon r, effect size (r) 
BiMo-0.85 vs. BiMo-0.05,0.015785487984724345,0.6,large,-0.6159178830896838,large
BiMo-0.85 vs. BiMo-0.1,0.2442936413317769,0.3333333333333333,medium,-0.29329423004270655,small
BiMo-0.85 vs. BiMo-0.15,0.5894979267172404,-0.2,small,-0.13198240351921794,small
BiMo-0.85 vs. BiMo-0.2,0.37867469302308465,0.06666666666666667,negligible,-0.2199706725320299,small
BiMo-0.85 vs. BiMo-0.25,0.13229866187626982,-0.4666666666666667,medium,-0.38128249905551853,medium
BiMo-0.85 vs. BiMo-0.3,0.13229866187626982,-0.2,small,-0.38128249905551853,medium
BiMo-0.85 vs. BiMo-0.35,0.015785487984724345,-0.4666666666666667,medium,-0.6159178830896838,large
BiMo-0.85 vs. BiMo-0.4,0.013487378597561772,-0.6,large,-0.6305825945918192,large
BiMo-0.85 vs. BiMo-0.45,0.011490067342975419,-0.3333333333333333,medium,-0.6452473060939544,large
BiMo-0.85 vs. BiMo-0.5,0.006979543813140587,-0.7333333333333333,large,-0.6892414406003605,large
BiMo-0.85 vs. BiMo-0.55,0.02143431943108065,-0.3333333333333333,medium,-0.5865884600854131,large
BiMo-0.85 vs. BiMo-0.6,0.18197117772305438,-0.06666666666666667,negligible,-0.33728836454911254,medium
BiMo-0.85 vs. BiMo-0.65,0.16407189181421789,-0.2,small,-0.35195307605124787,medium
BiMo-0.85 vs. BiMo-0.7,0.18197117772305438,-0.2,small,-0.33728836454911254,medium
BiMo-0.85 vs. BiMo-0.75,0.16407189181421789,-0.06666666666666667,negligible,-0.35195307605124787,medium
BiMo-0.85 vs. BiMo-0.8,0.2933828921517898,-0.06666666666666667,negligible,-0.2639648070384359,small
BiMo-0.85 vs. BiMo-0.9,0.6701287039198112,0.06666666666666667,negligible,-0.1026529805149473,small
BiMo-0.85 vs. BiMo-0.95,0.2442936413317769,0.2,small,-0.29329423004270655,small
