k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
top-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top-2,0.041330992,0.041330992,0.041330992,0.041330992,0.041330992,0.041330992,0.041330992,0.041330992,0.041330992,0.041330992,0.043241633,0.043241633,0.043241633,0.038612003,0.038612003,0.038753907,0.032426747,0.032426747,0.035667488
top-3,0.077003547,0.077003547,0.077003547,0.077003547,0.07906116,0.078086501,0.078086501,0.078086501,0.076170793,0.080139047,0.080139047,0.080139047,0.080139047,0.073966207,0.073966207,0.069336577,0.058367371,0.052194531,0.054663667
top-4,0.104818069,0.100445641,0.100445641,0.100445641,0.100445641,0.110696963,0.110696963,0.110696963,0.110696963,0.110696963,0.114812189,0.114812189,0.11289648,0.102094011,0.104408826,0.101119352,0.091076071,0.077584008,0.08183615
top-5,0.122552646,0.121577987,0.121577987,0.121577987,0.129514495,0.1299136,0.1299136,0.137850109,0.137850109,0.137850109,0.13167727,0.13167727,0.136049698,0.138107312,0.138107312,0.135792497,0.100653681,0.100653681,0.100653681
top-6,0.146619371,0.153718136,0.14816258,0.14353295,0.14353295,0.14353295,0.156050356,0.156050356,0.156050358,0.158365172,0.155124431,0.155124431,0.155124431,0.153208722,0.155266336,0.144794555,0.132076376,0.131819174,0.119583723
top-7,0.164209256,0.172145765,0.172145765,0.178318605,0.172145765,0.171171106,0.174826077,0.174826077,0.174826077,0.180599811,0.177359069,0.170813732,0.164640891,0.161554472,0.159239657,0.161953577,0.151665511,0.147177786,0.142479738
top-8,0.18727893,0.189593744,0.197824199,0.197824199,0.197824199,0.195874881,0.194900222,0.194900222,0.191659482,0.187029852,0.187029852,0.189344667,0.189344667,0.19794255,0.18548664,0.185555059,0.174380091,0.162132224,0.168611425
top-9,0.208999167,0.202826328,0.204883941,0.204883941,0.220323388,0.208188885,0.212818516,0.21513333,0.206687407,0.212242963,0.218856719,0.216799106,0.216799106,0.218856719,0.218856719,0.211757953,0.195953355,0.178414481,0.191024712
top-10,0.230109039,0.23057471,0.242148785,0.235975945,0.249208527,0.253480781,0.237014807,0.244197114,0.236260607,0.227772954,0.235116504,0.241289343,0.236703806,0.23114825,0.233463065,0.243143903,0.216272285,0.203221137,0.213450415
top-11,0.248113156,0.248064423,0.263606751,0.270293993,0.272209702,0.272209702,0.27321917,0.27321917,0.273361075,0.267188236,0.265052069,0.265052069,0.258879229,0.254910976,0.257904571,0.259962184,0.238048603,0.223454244,0.228943665
top-12,0.264324207,0.270036792,0.272351607,0.274267316,0.282938686,0.282277311,0.282277311,0.278309056,0.282938686,0.285652607,0.279107268,0.279107268,0.281164882,0.280190224,0.277103804,0.27941862,0.278345719,0.25040627,0.249840427
top-13,0.280711627,0.283026443,0.289057377,0.289625928,0.293594182,0.293594182,0.293594182,0.293594182,0.293594182,0.293883058,0.287710219,0.285138203,0.291311043,0.285138204,0.29414026,0.29105384,0.285608513,0.275937732,0.27190562
