k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
1%=0.01,0.194268666,0.200441507,0.200441507,0.200441507,0.19525845,0.19525845,0.18599919,0.19062882,0.19062882,0.19062882,0.194744047,0.200299602,0.198383893,0.188198709,0.181768668,0.181768668,0.17010869,0.17010869,0.163237732
2%=0.02,0.293271697,0.288439012,0.288963552,0.282418212,0.284333922,0.277058789,0.296390724,0.283158146,0.281315921,0.273158956,0.272184297,0.272184297,0.261381826,0.259838619,0.266783062,0.274462368,0.261744189,0.251739933,0.257641379
3%=0.03,0.34528259,0.362165075,0.368710411,0.370050568,0.376223407,0.370050568,0.37661559,0.382641457,0.380657329,0.389260281,0.380001022,0.387937529,0.378568042,0.372395201,0.371733824,0.369818115,0.352139623,0.356107877,0.342995661
4%=0.04,0.39978501,0.404855559,0.406839685,0.423967035,0.420567329,0.426206428,0.433922479,0.435005433,0.437320248,0.441068046,0.439414607,0.439414607,0.439414607,0.443456346,0.432984566,0.43695282,0.446652994,0.438564445,0.416046
5%=0.05,0.453424941,0.469866508,0.471782216,0.465014141,0.468982395,0.463378104,0.461393976,0.462123771,0.467745464,0.478988847,0.488248108,0.488248108,0.484279853,0.489460628,0.491444757,0.498984438,0.499057925,0.492885086,0.471125828
6%=0.06,0.48090877,0.490540529,0.49550085,0.499469104,0.495941766,0.505201023,0.517767163,0.519751292,0.514195735,0.523454992,0.529010549,0.529078967,0.528417589,0.523677732,0.522703073,0.519616652,0.519690139,0.523805365,0.519506425
7%=0.07,0.508385336,0.513989627,0.518619255,0.530964935,0.550213244,0.550213244,0.549331408,0.549331408,0.551315538,0.556871091,0.552241463,0.556540403,0.555565744,0.55618303,0.55309661,0.55309661,0.544572215,0.541742997,0.535501741
8%=0.08,0.529771749,0.550367219,0.545296675,0.556870747,0.571421009,0.571421009,0.571421009,0.571024183,0.573008309,0.579291379,0.577375671,0.579291379,0.57831672,0.57831672,0.573687091,0.573687091,0.565375806,0.563318193,0.558955902
9%=0.09,0.561409487,0.574913543,0.575685143,0.590566094,0.585495545,0.581527291,0.587082845,0.593365915,0.5955705,0.599401918,0.599401918,0.598427259,0.590270294,0.592585108,0.592585108,0.592585108,0.588354584,0.580741418,0.595891989
10%=0.1,0.575726956,0.598544414,0.603377094,0.597755403,0.600070217,0.607683385,0.606801549,0.608717259,0.610632968,0.610632968,0.610632968,0.608717259,0.6077426,0.611973124,0.611973124,0.605690056,0.597932195,0.591644061,0.614251199
11%=0.11,0.611095084,0.616496317,0.622247574,0.620336932,0.628978907,0.625892486,0.622811138,0.621640428,0.617672173,0.617672173,0.61984508,0.61984508,0.618870421,0.618870421,0.618870421,0.618870421,0.616954714,0.617211917,0.630755844
12%=0.12,0.619731643,0.627888605,0.633713353,0.645441746,0.640444683,0.641588789,0.640418078,0.634245238,0.632192693,0.632192693,0.632192693,0.632192693,0.625192165,0.625192165,0.627506981,0.627506981,0.631365006,0.63367982,0.644174077
13%=0.13,0.632194552,0.642776562,0.651418534,0.661564699,0.663879514,0.658740544,0.652567705,0.649481285,0.648709681,0.648709681,0.648709681,0.647735021,0.643766769,0.643913739,0.636969293,0.639026907,0.639284109,0.636969294,0.654150794
14%=0.14,0.649015617,0.664998862,0.667697658,0.67200167,0.671859764,0.668631439,0.668631439,0.667859837,0.664773416,0.657718741,0.653657663,0.659830502,0.659830502,0.658177065,0.656523625,0.658581239,0.656592041,0.647332781,0.668884854
15%=0.15,0.665422375,0.679889094,0.679766531,0.683881758,0.680868824,0.677782406,0.677782406,0.677010801,0.673924383,0.677010801,0.672949721,0.671920914,0.671920914,0.674235728,0.679196046,0.679196046,0.679453247,0.677138435,0.676708103
average,0.501312965,0.512411496,0.515337336,0.520049637,0.522302598,0.521375597,0.523262447,0.523065685,0.522644212,0.525070759,0.524707299,0.526110908,0.522794796,0.522431622,0.521188417,0.521989568,0.517951832,0.514866021,0.516655169
