k,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-0.85
top-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top-2,0.045867797,0.045867797,0.045867797,0.045867797,0.045867797,0.045867797,0.045867797,0.045867797,0.045867797,0.043810184,0.043810184,0.039180554,0.039180554,0.039180554,0.041238167,0.043552982,0.036081718,0.036081718,0.039322458
top-3,0.091240529,0.091240529,0.091240529,0.089256402,0.089256402,0.089256402,0.089256402,0.083083562,0.083083562,0.083083562,0.085141176,0.085141176,0.085141176,0.080511546,0.080910652,0.075097895,0.069542339,0.058367371,0.072011475
top-4,0.109447698,0.107390085,0.115326593,0.115326593,0.119956222,0.119956222,0.119956222,0.119956222,0.119956222,0.119956222,0.122013835,0.122013835,0.121039176,0.113102669,0.109244644,0.10501412,0.088758976,0.088758976,0.09279066
top-5,0.137433598,0.136458939,0.136458939,0.141088569,0.139172859,0.139172859,0.139172859,0.147109369,0.142479738,0.147109369,0.141230473,0.135057634,0.135057634,0.137372448,0.137372448,0.131199608,0.123471142,0.113567912,0.109141336
top-6,0.15222366,0.148934186,0.145847766,0.150477396,0.149502737,0.149502737,0.149502737,0.157439246,0.162068876,0.162068876,0.162068876,0.164126489,0.164126489,0.166441304,0.158352756,0.158352756,0.147880974,0.13300002,0.131971213
top-7,0.173120425,0.176775395,0.17909021,0.17909021,0.173485921,0.177140891,0.171585334,0.171585334,0.176214965,0.176214965,0.181285513,0.177427487,0.179343196,0.1794851,0.177500973,0.171328133,0.160782866,0.158468052,0.158284336
top-8,0.190064057,0.202453828,0.202453828,0.201479169,0.20050451,0.19335701,0.182245899,0.191505159,0.197060715,0.197060715,0.202131264,0.202131264,0.200588053,0.195958423,0.1917279,0.187098269,0.17475259,0.176729368,0.174899563
top-9,0.205765775,0.218008573,0.218008573,0.218008573,0.219348729,0.217448145,0.21189259,0.213232746,0.218788301,0.225402058,0.223486349,0.223486349,0.22039993,0.216431675,0.210258835,0.208343126,0.187355472,0.185474224,0.181444902
top-10,0.230777764,0.241119976,0.23318347,0.247145845,0.236691469,0.240921993,0.238690721,0.237716062,0.235401248,0.240956803,0.239041094,0.239440199,0.241644785,0.237676531,0.237676531,0.225948135,0.209957542,0.194990685,0.200411685
top-11,0.257379762,0.261034734,0.265407161,0.259234322,0.27136461,0.270389952,0.275698362,0.269525523,0.269525523,0.267100479,0.267100479,0.257248262,0.257248262,0.253280008,0.253280008,0.251364299,0.225445724,0.230864361,0.220933671
top-12,0.268439434,0.272094405,0.283668481,0.287710221,0.300281424,0.299306766,0.299306766,0.283874667,0.283874667,0.283874667,0.2778488,0.279392011,0.274762381,0.272846672,0.28339194,0.27876231,0.246095339,0.244441899,0.246415971
top-13,0.288280704,0.293993289,0.298365717,0.300281426,0.302339036,0.302339036,0.302339036,0.293079777,0.286906938,0.299625115,0.299625115,0.299625116,0.292680672,0.291426339,0.29568347,0.288481825,0.28125349,0.267829845,0.263244306
top-14,0.308200527,0.305224337,0.313711992,0.318341622,0.314226395,0.316430981,0.310000939,0.311916647,0.314231463,0.313256804,0.313256804,0.315314418,0.309141579,0.312227999,0.308396582,0.306081766,0.296998874,0.287548552,0.291487409
top-15,0.336571263,0.332254915,0.319688779,0.321373893,0.323688708,0.325746321,0.328061135,0.327348746,0.339547453,0.333521585,0.324776731,0.333374614,0.327201775,0.322001661,0.323282601,0.323282601,0.306669656,0.303098228,0.313045546
top-16,0.350185544,0.352500358,0.342249037,0.325604416,0.331777256,0.338464498,0.339439157,0.34309413,0.34515174,0.34515174,0.34515174,0.334349273,0.333374614,0.339804655,0.331317001,0.325340214,0.310784882,0.30919758,0.328335741
top-17,0.354557972,0.356468612,0.354962147,0.352537101,0.345396606,0.341496771,0.341496771,0.352813645,0.352813645,0.348184013,0.348184013,0.345004768,0.342432753,0.346491897,0.340319056,0.346339856,0.34005172,0.341705159,0.343510643
top-18,0.367785485,0.361815699,0.368502941,0.371373974,0.36442953,0.35305851,0.350099725,0.356855385,0.356855385,0.358912999,0.360897125,0.355292835,0.35143481,0.35143481,0.347319583,0.355917468,0.358557906,0.354253897,0.347571722
top-19,0.38702146,0.380794473,0.386967312,0.376316886,0.39226339,0.383212251,0.370548222,0.359745752,0.357830043,0.365913524,0.365913524,0.364796961,0.364667396,0.357980151,0.361801431,0.370688193,0.366788357,0.367113979,0.37000941
top-20,0.397676957,0.403998703,0.401174556,0.399925291,0.411100259,0.394217776,0.385527069,0.374724598,0.374462329,0.373433523,0.373433523,0.373799021,0.367626182,0.36821407,0.378208189,0.382837818,0.379337089,0.372718267,0.374639039
top-21,0.400709229,0.420777962,0.427354976,0.431328296,0.421334176,0.403790317,0.394217776,0.389588144,0.387011061,0.385982254,0.384439047,0.382489729,0.38146092,0.373303954,0.383812476,0.390756919,0.392699237,0.386553005,0.382558145
top-22,0.415626924,0.432040688,0.436271211,0.438990197,0.432161053,0.416008362,0.415033704,0.401806191,0.403202429,0.405517244,0.403533117,0.392466443,0.397622894,0.401444174,0.402717763,0.405032578,0.404187487,0.401017444,0.385448514
top-23,0.429429994,0.433015347,0.446247924,0.443933109,0.443791207,0.434796501,0.425794443,0.423222426,0.423222426,0.423222426,0.418734699,0.412670155,0.409583734,0.422223359,0.422223359,0.422149873,0.421292364,0.411435078,0.408211826
top-24,0.445836752,0.444503598,0.451195908,0.455776806,0.453388503,0.456278871,0.449682518,0.445824495,0.432596982,0.437368517,0.433137991,0.434632467,0.422573385,0.433052514,0.433052514,0.427496961,0.426896653,0.43192539,0.421686486
top-25,0.451441041,0.451048938,0.459793792,0.465349349,0.467076273,0.473310259,0.455801209,0.448856766,0.453016086,0.450444067,0.441008361,0.442992488,0.455558624,0.450671795,0.463017473,0.442955746,0.448655917,0.44416819,0.428618593
top-26,0.45829966,0.466794317,0.476906017,0.475362807,0.477425487,0.479428953,0.473714435,0.474419901,0.47794724,0.47794724,0.453598905,0.450309431,0.462875567,0.46691731,0.470402837,0.461143577,0.45915945,0.452858898,0.44621853
top-27,0.473170559,0.47577897,0.495223414,0.480452689,0.487769633,0.482461223,0.504789035,0.49619115,0.490238769,0.48097951,0.471774401,0.47671031,0.474064809,0.482552465,0.482552465,0.482179967,0.478836345,0.466735452,0.454578552
top-28,0.475154686,0.484366797,0.501599308,0.487710419,0.495431538,0.508795968,0.509878921,0.503265162,0.507894791,0.498635532,0.493545646,0.49686993,0.49290168,0.502560046,0.499473626,0.495243102,0.48829866,0.483669028,0.46316638
top-29,0.482302186,0.494857921,0.504631581,0.508604902,0.504636648,0.514143054,0.512837706,0.508208076,0.508869449,0.513499081,0.505579978,0.506589447,0.50221702,0.517031835,0.51743094,0.519231356,0.510878253,0.49133093,0.482042275
top-30,0.496950345,0.511448395,0.511962795,0.520382033,0.516854693,0.521070091,0.518441995,0.513812365,0.518441997,0.514473741,0.516548756,0.517558225,0.515434479,0.52700855,0.52303523,0.525350046,0.525350044,0.500903471,0.502018183
,0.30603206,0.310102059,0.313778758,0.31361101,0.314350769,0.312912351,0.31036265,0.308188968,0.308818728,0.309090227,0.306609917,0.305316363,0.304046151,0.305287817,0.305500048,0.303552383,0.295560702,0.289826899,0.287800619
