Maze(27),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.07222824176705825,0.0,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825,0.07222824176705825
2%=0.02,0.14094432798989293,0.0,0.07047216399494646,0.14094432798989293,0.14094432798989293,0.07047216399494646,0.14094432798989293,0.14094432798989293,0.14094432798989293,0.14094432798989293,0.14094432798989293,0.14094432798989293
3%=0.03,0.13759890016099677,0.0,0.06879945008049838,0.20639835024149514,0.20639835024149514,0.13759890016099677,0.20639835024149514,0.20639835024149514,0.20639835024149514,0.20639835024149514,0.20639835024149514,0.20639835024149514
4%=0.04,0.2016129045886289,0.0,0.13440860305908595,0.2688172061181719,0.2688172061181719,0.2016129045886289,0.2688172061181719,0.2688172061181719,0.2688172061181719,0.2688172061181719,0.2688172061181719,0.2688172061181719
5%=0.05,0.2627257817028377,0.06568144542570943,0.1970443362771283,0.32840721541271756,0.32840721541271756,0.2627257817028377,0.32840721541271756,0.32840721541271756,0.32840721541271756,0.32840721541271756,0.32840721541271756,0.32840721541271756
6%=0.06,0.2569043048066901,0.06422607620167252,0.19267822860501754,0.3853564572100351,0.3853564572100351,0.3211303698059793,0.3853564572100351,0.3853564572100351,0.3853564572100351,0.3853564572100351,0.3211303698059793,0.3853564572100351
7%=0.07,0.2513352199359101,0.12566760996795506,0.2513352199359101,0.4398366241658782,0.4398366241658782,0.37700282990386513,0.4398366241658782,0.4398366241658782,0.4398366241658782,0.4398366241658782,0.37700282990386513,0.37700282990386513
8%=0.08,0.3075030666611352,0.1845018461597613,0.24600246154634844,0.4920049230926969,0.4920049230926969,0.4305042974343094,0.4920049230926969,0.4920049230926969,0.4920049230926969,0.4920049230926969,0.4305042974343094,0.4305042974343094
9%=0.09,0.36133694889155654,0.24089129926103767,0.30111411422689444,0.48178259852207533,0.48178259852207533,0.48178259852207533,0.5420054331867373,0.5420054331867373,0.48178259852207533,0.5420054331867373,0.48178259852207533,0.48178259852207533
10%=0.1,0.4129793440305714,0.2949852430353984,0.3539823029855189,0.5309734639308121,0.5309734639308121,0.5309734639308121,0.5899704860707968,0.5309734639308121,0.4719764039806918,0.5309734639308121,0.5309734639308121,0.5309734639308121
11%=0.11,0.462561436630572,0.346921077472929,0.4047412479725727,0.5782017776298594,0.5782017776298594,0.5203816252885711,0.5782017776298594,0.5782017776298594,0.5203816252885711,0.5782017776298594,0.5782017776298594,0.5782017776298594
12%=0.12,0.5102040932693366,0.340136056361216,0.3968253903605725,0.5668934098136679,0.5668934098136679,0.5102040932693366,0.6235827612680499,0.5668934098136679,0.5102040932693366,0.5668934098136679,0.5668934098136679,0.6235827612680499
13%=0.13,0.5560188909605659,0.3336113446514081,0.38921322703075234,0.5560188909605659,0.5560188909605659,0.5004170253730026,0.6672226893028163,0.5560188909605659,0.5004170253730026,0.5560188909605659,0.6116207901316911,0.6672226893028163
14%=0.14,0.6001091059575914,0.32733224402204064,0.3818876099428976,0.6001091059575914,0.6001091059575914,0.49099837411587743,0.6546644880440813,0.5455537238711013,0.5455537238711013,0.6001091059575914,0.6546644880440813,0.7092198701305713
15%=0.15,0.5890227530829777,0.3212851422926785,0.4283801897235714,0.642570284585357,0.642570284585357,0.5354752215805985,0.6961178160877363,0.5354752215805985,0.5890227530829777,0.5890227530829777,0.6961178160877363,0.6961178160877363
