neuroph(24),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.1552795074171023,0.0,0.1552795074171023,0.07763975370855115,0.07763975370855115,0.07763975370855115,0.1552795074171023,0.1552795074171023,0.1552795074171023,0.07763975370855115,0.07763975370855115,0.1552795074171023
2%=0.02,0.2180232558139535,0.0,0.14534884098697637,0.14534884098697637,0.14534884098697637,0.14534884098697637,0.29069768197395274,0.2180232558139535,0.2180232558139535,0.14534884098697637,0.2180232558139535,0.29069768197395274
3%=0.03,0.27322405039020026,0.0,0.13661202519510013,0.13661202519510013,0.13661202519510013,0.20491803278688525,0.34153004797045544,0.27322405039020026,0.27322405039020026,0.20491803278688525,0.27322405039020026,0.27322405039020026
4%=0.04,0.32216494251468225,0.0,0.25773196470181253,0.25773196470181253,0.25773196470181253,0.19329896907216496,0.3865979381443299,0.3865979381443299,0.32216494251468225,0.32216494251468225,0.32216494251468225,0.32216494251468225
5%=0.05,0.30487804346181036,0.0,0.30487804346181036,0.30487804346181036,0.30487804346181036,0.18292682926829268,0.36585365853658536,0.426829257655328,0.426829257655328,0.426829257655328,0.36585365853658536,0.426829257655328
6%=0.06,0.28935184706109784,0.0,0.28935184706109784,0.3472222222222222,0.3472222222222222,0.1736111111111111,0.3472222222222222,0.46296297254447083,0.5208333333333334,0.46296297254447083,0.40509258301108453,0.5208333333333334
7%=0.07,0.3303964757709251,0.0,0.2753303921380694,0.3303964757709251,0.3303964757709251,0.16519823788546256,0.3303964757709251,0.49559471365638774,0.5506607842761388,0.44052864303663625,0.3854625463906763,0.49559471365638774
8%=0.08,0.31512605042016806,0.0,0.31512605042016806,0.3676470509315225,0.3676470509315225,0.15756302521008403,0.3676470509315225,0.5252100761416065,0.5777311003289816,0.4726890756302521,0.3676470509315225,0.5252100761416065
9%=0.09,0.3514056152798367,0.0,0.3514056152798367,0.4016064329129342,0.4016064329129342,0.2008032164564671,0.4016064329129342,0.5020080249183909,0.6024096385542169,0.5020080249183909,0.4016064329129342,0.5522088425514884
10%=0.1,0.3846153912283259,0.0,0.3846153912283259,0.4326923076923077,0.4326923076923077,0.19230769561416294,0.4326923076923077,0.48076922415628937,0.576923076923077,0.48076922415628937,0.4326923076923077,0.5288461604590952
11%=0.11,0.3690036961238931,0.0,0.3690036961238931,0.41512915129151295,0.41512915129151295,0.18450184806194656,0.41512915129151295,0.5073800798877307,0.5535055350553506,0.5073800798877307,0.41512915129151295,0.5073800798877307
12%=0.12,0.3546099346993968,0.0,0.443262405726135,0.398936170212766,0.398936170212766,0.26595744680851063,0.443262405726135,0.5319148936170213,0.5319148936170213,0.5319148936170213,0.443262405726135,0.5319148936170213
13%=0.13,0.4266211552023339,0.042662116691858425,0.5119453924914675,0.38395904436860073,0.38395904436860073,0.25597269624573377,0.4266211552023339,0.5119453924914675,0.5546075189468678,0.5119453924914675,0.4266211552023339,0.5546075189468678
14%=0.14,0.45230263641614904,0.04111842165728179,0.4934210526315789,0.37006578947368424,0.37006578947368424,0.24671052631578946,0.45230263641614904,0.5345394833586138,0.5345394833586138,0.4934210526315789,0.45230263641614904,0.5345394833586138
15%=0.15,0.4365079410132006,0.03968254024569769,0.47619047619047616,0.35714285714285715,0.35714285714285715,0.23809523809523808,0.47619047619047616,0.5158730248835439,0.5158730248835439,0.47619047619047616,0.47619047619047616,0.5158730248835439
