wro4j(12),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0,0.22522522976051895,0.22522522976051895,0.11261261488025948,0.11261261488025948,0.22522522976051895,0.22522522976051895,0.22522522976051895,0.22522522976051895,0.22522522976051895
2%=0.02,0.4251700628553514,0.0,0.08503401489840699,0.17006802979681399,0.17006802979681399,0.25510204081632654,0.25510204081632654,0.25510204081632654,0.34013605959362797,0.25510204081632654,0.34013605959362797,0.25510204081632654
3%=0.03,0.4098360655737705,0.0,0.27322404705302356,0.20491803278688525,0.20491803278688525,0.27322404705302356,0.20491803278688525,0.4098360655737705,0.34153005130763203,0.27322404705302356,0.34153005130763203,0.47814206982837876
4%=0.04,0.45662100922660936,0.0,0.39954337433503434,0.28538812552368154,0.28538812552368154,0.28538812552368154,0.45662100922660936,0.39954337433503434,0.3424657534246575,0.45662100922660936,0.6278538859389382,0.6278538859389382
5%=0.05,0.3921568661825054,0.0,0.34313725146455326,0.34313725146455326,0.34313725146455326,0.34313725146455326,0.49019607499396506,0.4411764705882353,0.34313725146455326,0.5882352941176471,0.5882352941176471,0.5882352941176471
6%=0.06,0.3865979381443299,0.0,0.34364261432337134,0.3865979381443299,0.3865979381443299,0.300687282583845,0.47250859370481474,0.4295532619652883,0.3865979381443299,0.5154639175257731,0.5154639175257731,0.5154639175257731
7%=0.07,0.3822629948515611,0.0,0.30581039964385165,0.3822629948515611,0.3822629948515611,0.30581039964385165,0.4204892987264205,0.4587155963302752,0.34403669724770647,0.4587155963302752,0.4587155963302752,0.4587155963302752
8%=0.08,0.3443526153836075,0.0,0.30991735537190085,0.3443526153836075,0.3443526153836075,0.30991735537190085,0.4132231404958678,0.4132231404958678,0.3443526153836075,0.4132231404958678,0.4132231404958678,0.4132231404958678
9%=0.09,0.3446115302260501,0.0,0.28195488721804507,0.313283206616055,0.313283206616055,0.313283206616055,0.37593984962406013,0.37593984962406013,0.313283206616055,0.37593984962406013,0.37593984962406013,0.37593984962406013
10%=0.1,0.31609195520421407,0.0,0.2873563206578548,0.2873563206578548,0.2873563206578548,0.2873563206578548,0.3448275862068965,0.3448275862068965,0.2873563206578548,0.3448275862068965,0.3448275862068965,0.3448275862068965
11%=0.11,0.2919320604555398,0.0,0.2919320604555398,0.2919320604555398,0.2919320604555398,0.26539278030879127,0.3184713375796178,0.3184713375796178,0.2919320604555398,0.3184713375796178,0.3184713375796178,0.3184713375796178
12%=0.12,0.2712031566880922,0.0,0.2712031566880922,0.2712031566880922,0.2712031566880922,0.24654832260184859,0.29585798816568043,0.29585798816568043,0.2712031566880922,0.29585798816568043,0.29585798816568043,0.29585798816568043
13%=0.13,0.25322283685383845,0.0,0.25322283685383845,0.25322283685383845,0.25322283685383845,0.2302025775108024,0.27624309392265195,0.27624309392265195,0.25322283685383845,0.27624309392265195,0.27624309392265195,0.27624309392265195
14%=0.14,0.23747841172027706,0.0,0.23747841172027706,0.23747841172027706,0.23747841172027706,0.21588946392739128,0.2590673575129534,0.2590673575129534,0.23747841172027706,0.2590673575129534,0.2590673575129534,0.2590673575129534
15%=0.15,0.22357723636332183,0.0,0.22357723636332183,0.22357723636332183,0.22357723636332183,0.20325203192936103,0.2439024390243902,0.2439024390243902,0.22357723636332183,0.2439024390243902,0.2439024390243902,0.2439024390243902
